Threshold:0.0, retain_rate:0.18615751789976134, average:0.0
Threshold:0.05, retain_rate:0.32537788385043753, average:0.015241431682584235
Threshold:0.1, retain_rate:0.5791567223548131, average:0.04227262336405882
Threshold:0.15000000000000002, retain_rate:0.7541766109785203, average:0.06132243882118933
Threshold:0.2, retain_rate:0.8568019093078759, average:0.07488847580827412
Threshold:0.25, retain_rate:0.9228321400159109, average:0.08561337113185746
Threshold:0.30000000000000004, retain_rate:0.9514717581543357, average:0.0913464908925001
Threshold:0.35000000000000003, retain_rate:0.9649960222752586, average:0.0945431698071687
Threshold:0.4, retain_rate:0.979315831344471, average:0.09866731012505554
Threshold:0.45, retain_rate:0.984884645982498, average:0.10047818176136361
Threshold:0.5, retain_rate:0.9920445505171042, average:0.10317896377077683
Threshold:0.55, retain_rate:0.9960222752585521, average:0.10487899275530968
Threshold:0.6000000000000001, retain_rate:0.9984089101034208, average:0.10599425071229755
Threshold:0.65, retain_rate:0.9984089101034208, average:0.10599425071229755
Threshold:0.7000000000000001, retain_rate:1.0, average:0.10688633092861317
Threshold:0.75, retain_rate:1.0, average:0.10688633092861317
Threshold:0.8, retain_rate:1.0, average:0.10688633092861317
Threshold:0.8500000000000001, retain_rate:1.0, average:0.10688633092861317
Threshold:0.9, retain_rate:1.0, average:0.10688633092861317
Threshold:0.9500000000000001, retain_rate:1.0, average:0.10688633092861317
