Threshold:0.0, retain_rate:0.36754176610978523, average:0.0
Threshold:0.05, retain_rate:0.4781225139220366, average:0.010603645790657373
Threshold:0.1, retain_rate:0.7334924423229913, average:0.03159892818149015
Threshold:0.15000000000000002, retain_rate:0.8743038981702467, average:0.04636922573650677
Threshold:0.2, retain_rate:0.9530628480509149, average:0.05696892900859318
Threshold:0.25, retain_rate:0.9801113762927606, average:0.06172473647538752
Threshold:0.30000000000000004, retain_rate:0.9880668257756563, average:0.06343752207878137
Threshold:0.35000000000000003, retain_rate:0.994431185361973, average:0.0650806795710151
Threshold:0.4, retain_rate:0.9968178202068417, average:0.06584508768394019
Threshold:0.45, retain_rate:0.9984089101034208, average:0.0663885959931676
Threshold:0.5, retain_rate:0.9992044550517104, average:0.06671041099261103
Threshold:0.55, retain_rate:1.0, average:0.06708668158027208
Threshold:0.6000000000000001, retain_rate:1.0, average:0.06708668158027208
Threshold:0.65, retain_rate:1.0, average:0.06708668158027208
Threshold:0.7000000000000001, retain_rate:1.0, average:0.06708668158027208
Threshold:0.75, retain_rate:1.0, average:0.06708668158027208
Threshold:0.8, retain_rate:1.0, average:0.06708668158027208
Threshold:0.8500000000000001, retain_rate:1.0, average:0.06708668158027208
Threshold:0.9, retain_rate:1.0, average:0.06708668158027208
Threshold:0.9500000000000001, retain_rate:1.0, average:0.06708668158027208
