Threshold:0.0, retain_rate:0.3492442322991249, average:0.0
Threshold:0.05, retain_rate:0.420843277645187, average:0.005987845492111618
Threshold:0.1, retain_rate:0.5998408910103421, average:0.02690700758661178
Threshold:0.15000000000000002, retain_rate:0.7525855210819411, average:0.046318189442271986
Threshold:0.2, retain_rate:0.8607796340493238, average:0.06269813080578761
Threshold:0.25, retain_rate:0.9172633253778838, average:0.07304405846972936
Threshold:0.30000000000000004, retain_rate:0.9498806682577565, average:0.07997186465352261
Threshold:0.35000000000000003, retain_rate:0.9673826571201273, average:0.08440489853682727
Threshold:0.4, retain_rate:0.9840891010342084, average:0.0894544787697211
Threshold:0.45, retain_rate:0.9872712808273667, average:0.0905634639345204
Threshold:0.5, retain_rate:0.9920445505171042, average:0.09250264410928491
Threshold:0.55, retain_rate:0.9952267303102625, average:0.09392594357953189
Threshold:0.6000000000000001, retain_rate:0.9976133651551312, average:0.0950429785490702
Threshold:0.65, retain_rate:0.9984089101034208, average:0.09545759339913838
Threshold:0.7000000000000001, retain_rate:0.9992044550517104, average:0.09591237769314119
Threshold:0.75, retain_rate:0.9992044550517104, average:0.09591237769314119
Threshold:0.8, retain_rate:1.0, average:0.09647251104422065
Threshold:0.8500000000000001, retain_rate:1.0, average:0.09647251104422065
Threshold:0.9, retain_rate:1.0, average:0.09647251104422065
Threshold:0.9500000000000001, retain_rate:1.0, average:0.09647251104422065
