Threshold:0.0, retain_rate:0.21081941129673826, average:0.0
Threshold:0.05, retain_rate:0.25218774860779636, average:0.006028585985672977
Threshold:0.1, retain_rate:0.41686555290373906, average:0.034859103624738964
Threshold:0.15000000000000002, retain_rate:0.5656324582338902, average:0.058702189588753756
Threshold:0.2, retain_rate:0.7032617342879872, average:0.08152998352144263
Threshold:0.25, retain_rate:0.7859984089101034, average:0.09714742236084599
Threshold:0.30000000000000004, retain_rate:0.8456642800318218, average:0.10999658642822051
Threshold:0.35000000000000003, retain_rate:0.8806682577565632, average:0.11847503365469213
Threshold:0.4, retain_rate:0.9196499602227526, average:0.12953699542932154
Threshold:0.45, retain_rate:0.939538583929992, average:0.13593188416581672
Threshold:0.5, retain_rate:0.9673826571201273, average:0.1458463336616605
Threshold:0.55, retain_rate:0.9729514717581543, average:0.14805928989411135
Threshold:0.6000000000000001, retain_rate:0.9840891010342084, average:0.15291867573018791
Threshold:0.65, retain_rate:0.9904534606205251, average:0.15594324681579208
Threshold:0.7000000000000001, retain_rate:0.9952267303102625, average:0.15839275962083224
Threshold:0.75, retain_rate:0.9984089101034208, average:0.16017487821178567
Threshold:0.8, retain_rate:1.0, average:0.16113811271831863
Threshold:0.8500000000000001, retain_rate:1.0, average:0.16113811271831863
Threshold:0.9, retain_rate:1.0, average:0.16113811271831863
Threshold:0.9500000000000001, retain_rate:1.0, average:0.16113811271831863
