Threshold:0.0, retain_rate:0.1431980906921241, average:0.0
Threshold:0.05, retain_rate:0.3611774065234686, average:0.020180308804454726
Threshold:0.1, retain_rate:0.690533015115354, average:0.04504959873278661
Threshold:0.15000000000000002, retain_rate:0.8520286396181385, average:0.059745427433460514
Threshold:0.2, retain_rate:0.9268098647573588, average:0.06879808920998527
Threshold:0.25, retain_rate:0.964200477326969, average:0.07471450782839034
Threshold:0.30000000000000004, retain_rate:0.9880668257756563, average:0.07958023410861645
Threshold:0.35000000000000003, retain_rate:0.9952267303102625, average:0.08125007129143891
Threshold:0.4, retain_rate:0.9968178202068417, average:0.08168246744885237
Threshold:0.45, retain_rate:0.9992044550517104, average:0.0824809188519261
Threshold:0.5, retain_rate:0.9992044550517104, average:0.0824809188519261
Threshold:0.55, retain_rate:0.9992044550517104, average:0.0824809188519261
Threshold:0.6000000000000001, retain_rate:0.9992044550517104, average:0.0824809188519261
Threshold:0.65, retain_rate:1.0, average:0.08290486769562753
Threshold:0.7000000000000001, retain_rate:1.0, average:0.08290486769562753
Threshold:0.75, retain_rate:1.0, average:0.08290486769562753
Threshold:0.8, retain_rate:1.0, average:0.08290486769562753
Threshold:0.8500000000000001, retain_rate:1.0, average:0.08290486769562753
Threshold:0.9, retain_rate:1.0, average:0.08290486769562753
Threshold:0.9500000000000001, retain_rate:1.0, average:0.08290486769562753
