Threshold:0.0, retain_rate:0.29276054097056486, average:0.0
Threshold:0.05, retain_rate:0.5998408910103421, average:0.013992564652217234
Threshold:0.1, retain_rate:0.7915672235481305, average:0.02824760641211797
Threshold:0.15000000000000002, retain_rate:0.8591885441527446, average:0.03562768453764321
Threshold:0.2, retain_rate:0.898170246618934, average:0.04161190372234123
Threshold:0.25, retain_rate:0.9204455051710422, average:0.04609947282532453
Threshold:0.30000000000000004, retain_rate:0.9307875894988067, average:0.048683025545989904
Threshold:0.35000000000000003, retain_rate:0.9411296738265712, average:0.05178426254414618
Threshold:0.4, retain_rate:0.9506762132060461, average:0.05513048675921784
Threshold:0.45, retain_rate:0.9554494828957836, average:0.05700512556738451
Threshold:0.5, retain_rate:0.9721559268098647, average:0.06454831515871608
Threshold:0.55, retain_rate:0.9745425616547335, average:0.06568452482024627
Threshold:0.6000000000000001, retain_rate:0.979315831344471, average:0.06818347714469467
Threshold:0.65, retain_rate:0.9809069212410502, average:0.06908086160483086
Threshold:0.7000000000000001, retain_rate:0.9864757358790772, average:0.07245432985921219
Threshold:0.75, retain_rate:0.9880668257756563, average:0.07354538568874647
Threshold:0.8, retain_rate:0.9904534606205251, average:0.07521858179051279
Threshold:0.8500000000000001, retain_rate:0.9912490055688147, average:0.07582702059592436
Threshold:0.9, retain_rate:0.994431185361973, average:0.07832723127287454
Threshold:0.9500000000000001, retain_rate:0.994431185361973, average:0.07832723127287454
