Threshold:0.0, retain_rate:0.39697692919649963, average:0.0
Threshold:0.05, retain_rate:0.4407319013524264, average:0.004569707798663763
Threshold:0.1, retain_rate:0.6356404136833731, average:0.024185404879727677
Threshold:0.15000000000000002, retain_rate:0.7438345266507558, average:0.03829558530809363
Threshold:0.2, retain_rate:0.8098647573587908, average:0.0492994725837941
Threshold:0.25, retain_rate:0.8456642800318218, average:0.056754979108647415
Threshold:0.30000000000000004, retain_rate:0.8862370723945903, average:0.06673737685284764
Threshold:0.35000000000000003, retain_rate:0.9108989657915673, average:0.07384549196237869
Threshold:0.4, retain_rate:0.933969769291965, average:0.08141740646462707
Threshold:0.45, retain_rate:0.9451073985680191, average:0.08559312941052684
Threshold:0.5, retain_rate:0.960222752585521, average:0.09194496060143617
Threshold:0.55, retain_rate:0.9634049323786794, average:0.09339215629843646
Threshold:0.6000000000000001, retain_rate:0.9753381066030231, average:0.09936597715470387
Threshold:0.65, retain_rate:0.9785202863961814, average:0.10110064103263078
Threshold:0.7000000000000001, retain_rate:0.9840891010342084, average:0.10434040797751873
Threshold:0.75, retain_rate:0.9888623707239459, average:0.10738766317938159
Threshold:0.8, retain_rate:0.9920445505171042, average:0.10957880520759912
Threshold:0.8500000000000001, retain_rate:0.9952267303102625, average:0.11187201646762479
Threshold:0.9, retain_rate:0.9952267303102625, average:0.11187201646762479
Threshold:0.9500000000000001, retain_rate:0.9960222752585521, average:0.11250877277163698
