Threshold:0.0, retain_rate:0.38743038981702466, average:0.0
Threshold:0.05, retain_rate:0.45505171042163883, average:0.0051483579379213995
Threshold:0.1, retain_rate:0.52824184566428, average:0.014312570521846027
Threshold:0.15000000000000002, retain_rate:0.5879077167859984, average:0.025498989986500843
Threshold:0.2, retain_rate:0.6380270485282419, average:0.037392960006493385
Threshold:0.25, retain_rate:0.6674622116149562, average:0.045725920783800916
Threshold:0.30000000000000004, retain_rate:0.6937151949085123, average:0.054693460775110725
Threshold:0.35000000000000003, retain_rate:0.7247414478918058, average:0.06630028415305812
Threshold:0.4, retain_rate:0.7446300715990454, average:0.07488996218954178
Threshold:0.45, retain_rate:0.7581543357199682, average:0.08126793767562303
Threshold:0.5, retain_rate:0.8297533810660302, average:0.11701489748615744
Threshold:0.55, retain_rate:0.8353221957040573, average:0.11974070097373148
Threshold:0.6000000000000001, retain_rate:0.8512330946698489, average:0.12828440265494967
Threshold:0.65, retain_rate:0.8575974542561655, average:0.13190875077203915
Threshold:0.7000000000000001, retain_rate:0.8862370723945903, average:0.1493342674023726
Threshold:0.75, retain_rate:0.9029435163086714, average:0.16020709813113185
Threshold:0.8, retain_rate:0.9101034208432777, average:0.1650810000511462
Threshold:0.8500000000000001, retain_rate:0.9204455051710422, average:0.17243589428623765
Threshold:0.9, retain_rate:0.9276054097056484, average:0.17779499537719712
Threshold:0.9500000000000001, retain_rate:0.9291964996022275, average:0.17904721440752883
