Threshold:0.0, retain_rate:0.3794749403341289, average:0.0
Threshold:0.05, retain_rate:0.4105011933174224, average:0.002458228276631204
Threshold:0.1, retain_rate:0.44630071599045346, average:0.008170871857756437
Threshold:0.15000000000000002, retain_rate:0.48528241845664283, average:0.0177695453844852
Threshold:0.2, retain_rate:0.5250596658711217, average:0.029755347315018336
Threshold:0.25, retain_rate:0.5497215592680986, average:0.038803336487761984
Threshold:0.30000000000000004, retain_rate:0.5751789976133651, average:0.04936363390854962
Threshold:0.35000000000000003, retain_rate:0.6022275258552108, average:0.061818622607471785
Threshold:0.4, retain_rate:0.6364359586316627, average:0.0792637353145956
Threshold:0.45, retain_rate:0.6507557677008751, average:0.08700291630390902
Threshold:0.5, retain_rate:0.7478122513922036, average:0.14027198178711187
Threshold:0.55, retain_rate:0.7589498806682577, average:0.1460138784433184
Threshold:0.6000000000000001, retain_rate:0.7828162291169452, average:0.15933152639200068
Threshold:0.65, retain_rate:0.7955449482895783, average:0.16671609346055669
Threshold:0.7000000000000001, retain_rate:0.8400954653937948, average:0.1933016874680907
Threshold:0.75, retain_rate:0.862370723945903, average:0.20740008974154997
Threshold:0.8, retain_rate:0.8790771678599841, average:0.21835842233052855
Threshold:0.8500000000000001, retain_rate:0.8957836117740652, average:0.22954632102443615
Threshold:0.9, retain_rate:0.9093078758949881, average:0.23915117444807527
Threshold:0.9500000000000001, retain_rate:0.9116945107398569, average:0.24093484637058532
