Threshold:0.0, retain_rate:0.27764518695306284, average:0.0
Threshold:0.05, retain_rate:0.4701670644391408, average:0.014680050949085933
Threshold:0.1, retain_rate:0.6976929196499603, average:0.03366520272742394
Threshold:0.15000000000000002, retain_rate:0.8385043754972156, average:0.04888398483040828
Threshold:0.2, retain_rate:0.9053301511535402, average:0.05802930887700303
Threshold:0.25, retain_rate:0.949085123309467, average:0.06594761409934347
Threshold:0.30000000000000004, retain_rate:0.9697692919649961, average:0.07041391530822846
Threshold:0.35000000000000003, retain_rate:0.9824980111376292, average:0.07369960553397685
Threshold:0.4, retain_rate:0.9896579156722355, average:0.07585494144888794
Threshold:0.45, retain_rate:0.9928400954653938, average:0.0769930571824992
Threshold:0.5, retain_rate:0.9960222752585521, average:0.07830725416912361
Threshold:0.55, retain_rate:0.9992044550517104, average:0.07971825290192612
Threshold:0.6000000000000001, retain_rate:0.9992044550517104, average:0.07971825290192612
Threshold:0.65, retain_rate:1.0, average:0.08013907819967632
Threshold:0.7000000000000001, retain_rate:1.0, average:0.08013907819967632
Threshold:0.75, retain_rate:1.0, average:0.08013907819967632
Threshold:0.8, retain_rate:1.0, average:0.08013907819967632
Threshold:0.8500000000000001, retain_rate:1.0, average:0.08013907819967632
Threshold:0.9, retain_rate:1.0, average:0.08013907819967632
Threshold:0.9500000000000001, retain_rate:1.0, average:0.08013907819967632
