Threshold:0.0, retain_rate:0.6452036793692509, average:0.0
Threshold:0.05, retain_rate:0.721419185282523, average:0.003664017418141618
Threshold:0.1, retain_rate:0.8059570740254052, average:0.011252564756560791
Threshold:0.15000000000000002, retain_rate:0.8628996933858958, average:0.018686953808057176
Threshold:0.2, retain_rate:0.9246605343845817, average:0.0291967702663946
Threshold:0.25, retain_rate:0.9540078843626807, average:0.0353629231175985
Threshold:0.30000000000000004, retain_rate:0.9689005694261936, average:0.039031261736172135
Threshold:0.35000000000000003, retain_rate:0.979413053000438, average:0.04209010658904516
Threshold:0.4, retain_rate:0.9851073149364871, average:0.0440336193223301
Threshold:0.45, retain_rate:0.9877354358300482, average:0.0450577735360122
Threshold:0.5, retain_rate:0.9908015768725361, average:0.04639689025833606
Threshold:0.55, retain_rate:0.9916776171703898, average:0.046814359302476405
Threshold:0.6000000000000001, retain_rate:0.994305738063951, average:0.048191859789988904
Threshold:0.65, retain_rate:0.9960578186596584, average:0.04920541990915582
Threshold:0.7000000000000001, retain_rate:0.9982479194042926, average:0.05056009574671069
Threshold:0.75, retain_rate:0.9991239597021463, average:0.051164939692031085
Threshold:0.8, retain_rate:0.9991239597021463, average:0.051164939692031085
Threshold:0.8500000000000001, retain_rate:0.9991239597021463, average:0.051164939692031085
Threshold:0.9, retain_rate:1.0, average:0.051871008826898206
Threshold:0.9500000000000001, retain_rate:1.0, average:0.051871008826898206
