Threshold:0.0, retain_rate:0.8028909329829172, average:0.0
Threshold:0.05, retain_rate:0.812089356110381, average:0.0004997389750051312
Threshold:0.1, retain_rate:0.8545773105562856, average:0.004016040593441239
Threshold:0.15000000000000002, retain_rate:0.8918090232150679, average:0.008852865445220204
Threshold:0.2, retain_rate:0.9189662724485327, average:0.013679418381599485
Threshold:0.25, retain_rate:0.941305300043802, average:0.018818059515592973
Threshold:0.30000000000000004, retain_rate:0.9513797634691196, average:0.02157630365709692
Threshold:0.35000000000000003, retain_rate:0.9632063074901446, average:0.025369242235235304
Threshold:0.4, retain_rate:0.9693385895751204, average:0.027621797373978095
Threshold:0.45, retain_rate:0.9741568112133158, average:0.02960547051942368
Threshold:0.5, retain_rate:0.9864213753832677, average:0.035381126296403054
Threshold:0.55, retain_rate:0.9877354358300482, average:0.036045948686463616
Threshold:0.6000000000000001, retain_rate:0.9908015768725361, average:0.037702532630458155
Threshold:0.65, retain_rate:0.9916776171703898, average:0.03821818215807117
Threshold:0.7000000000000001, retain_rate:0.9947437582128777, average:0.0401552756814354
Threshold:0.75, retain_rate:0.9960578186596584, average:0.04107234539379111
Threshold:0.8, retain_rate:0.9978098992553658, average:0.042385456093519104
Threshold:0.8500000000000001, retain_rate:0.9982479194042926, average:0.04273251527616054
Threshold:0.9, retain_rate:0.9991239597021463, average:0.04346538587089553
Threshold:0.9500000000000001, retain_rate:0.9991239597021463, average:0.04346538587089553
