Threshold:0.0, retain_rate:0.7612790188348664, average:0.0
Threshold:0.05, retain_rate:0.7722295225580377, average:0.0005370279162935963
Threshold:0.1, retain_rate:0.8160315374507228, average:0.00453541133071916
Threshold:0.15000000000000002, retain_rate:0.859395532194481, average:0.010614970870092806
Threshold:0.2, retain_rate:0.9067017082785808, average:0.018780442854186778
Threshold:0.25, retain_rate:0.9351730179588261, average:0.025251902371529335
Threshold:0.30000000000000004, retain_rate:0.9500657030223391, average:0.02918644456217401
Threshold:0.35000000000000003, retain_rate:0.9745948313622427, average:0.03646485691967405
Threshold:0.4, retain_rate:0.9877354358300482, average:0.040980053467998406
Threshold:0.45, retain_rate:0.991239597021463, average:0.042345411218895616
Threshold:0.5, retain_rate:0.9929916776171704, average:0.04312690671786181
Threshold:0.55, retain_rate:0.9947437582128777, average:0.044003002528187556
Threshold:0.6000000000000001, retain_rate:0.9964958388085852, average:0.044940818402595714
Threshold:0.65, retain_rate:0.9973718791064389, average:0.0454443238920812
Threshold:0.7000000000000001, retain_rate:0.9986859395532195, average:0.04627007593040197
Threshold:0.75, retain_rate:0.9991239597021463, average:0.04657282561445843
Threshold:0.8, retain_rate:0.9991239597021463, average:0.04657282561445843
Threshold:0.8500000000000001, retain_rate:0.9995619798510732, average:0.04691759358453681
Threshold:0.9, retain_rate:1.0, average:0.04729126086724179
Threshold:0.9500000000000001, retain_rate:1.0, average:0.04729126086724179
