Threshold:0.0, retain_rate:0.78580814717477, average:0.0
Threshold:0.05, retain_rate:0.7989487516425755, average:0.0006438145137216394
Threshold:0.1, retain_rate:0.830048182216382, average:0.0034919984768625335
Threshold:0.15000000000000002, retain_rate:0.8699080157687253, average:0.009139055120647282
Threshold:0.2, retain_rate:0.92071835304424, average:0.018008235002952303
Threshold:0.25, retain_rate:0.9430573806395094, average:0.0231029711126463
Threshold:0.30000000000000004, retain_rate:0.9557599649583881, average:0.026488694520182876
Threshold:0.35000000000000003, retain_rate:0.9702146298729741, average:0.030905890417282835
Threshold:0.4, retain_rate:0.9837932544897066, average:0.035721454985663856
Threshold:0.45, retain_rate:0.9894875164257556, average:0.037935912724943746
Threshold:0.5, retain_rate:0.9934296977660972, average:0.039656998433826404
Threshold:0.55, retain_rate:0.9947437582128777, average:0.04032174488107246
Threshold:0.6000000000000001, retain_rate:0.9982479194042926, average:0.042226072457657006
Threshold:0.65, retain_rate:0.9991239597021463, average:0.042738793241985346
Threshold:0.7000000000000001, retain_rate:0.9995619798510732, average:0.043012205982311674
Threshold:0.75, retain_rate:1.0, average:0.04331782513901707
Threshold:0.8, retain_rate:1.0, average:0.04331782513901707
Threshold:0.8500000000000001, retain_rate:1.0, average:0.04331782513901707
Threshold:0.9, retain_rate:1.0, average:0.04331782513901707
Threshold:0.9500000000000001, retain_rate:1.0, average:0.04331782513901707
