Threshold:0.0, retain_rate:0.4826982041173894, average:0.0
Threshold:0.05, retain_rate:0.5738063950941743, average:0.006296040173143743
Threshold:0.1, retain_rate:0.7385019710906702, average:0.02138300444418198
Threshold:0.15000000000000002, retain_rate:0.8409986859395532, average:0.033992709667523095
Threshold:0.2, retain_rate:0.9067017082785808, average:0.04391313216431162
Threshold:0.25, retain_rate:0.9408672798948752, average:0.050504487972583195
Threshold:0.30000000000000004, retain_rate:0.9610162067455102, average:0.05526317658597712
Threshold:0.35000000000000003, retain_rate:0.9759088918090232, average:0.059394580735983804
Threshold:0.4, retain_rate:0.985545335085414, average:0.06254146229459194
Threshold:0.45, retain_rate:0.9894875164257556, average:0.06397859357066306
Threshold:0.5, retain_rate:0.9947437582128777, average:0.06620055151923443
Threshold:0.55, retain_rate:0.9969338589575121, average:0.06721705679145798
Threshold:0.6000000000000001, retain_rate:0.9982479194042926, average:0.06790069553440306
Threshold:0.65, retain_rate:0.9986859395532195, average:0.06815002138564397
Threshold:0.7000000000000001, retain_rate:0.9991239597021463, average:0.06841241360190044
Threshold:0.75, retain_rate:0.9995619798510732, average:0.06869544309387406
Threshold:0.8, retain_rate:1.0, average:0.06901576922480096
Threshold:0.8500000000000001, retain_rate:1.0, average:0.06901576922480096
Threshold:0.9, retain_rate:1.0, average:0.06901576922480096
Threshold:0.9500000000000001, retain_rate:1.0, average:0.06901576922480096
