Threshold:0.0, retain_rate:0.7034603591765222, average:0.0
Threshold:0.05, retain_rate:0.7279894875164258, average:0.0013561514303549553
Threshold:0.1, retain_rate:0.7901883486640385, average:0.007248446526495716
Threshold:0.15000000000000002, retain_rate:0.8453788874288217, average:0.014886856188592274
Threshold:0.2, retain_rate:0.9045116075339465, average:0.024997566448451497
Threshold:0.25, retain_rate:0.9338589575120455, average:0.03142929570451537
Threshold:0.30000000000000004, retain_rate:0.9496276828734121, average:0.03549753193619623
Threshold:0.35000000000000003, retain_rate:0.9750328515111695, average:0.04287545753680126
Threshold:0.4, retain_rate:0.9868593955321945, average:0.046881242521307445
Threshold:0.45, retain_rate:0.9894875164257556, average:0.047874005123782794
Threshold:0.5, retain_rate:0.9925536574682435, average:0.04921531876615616
Threshold:0.55, retain_rate:0.993867717915024, average:0.04986411802972901
Threshold:0.6000000000000001, retain_rate:0.9951817783618047, average:0.05055697633763376
Threshold:0.65, retain_rate:0.9960578186596584, average:0.05105487404240863
Threshold:0.7000000000000001, retain_rate:0.9982479194042926, average:0.05242829726262251
Threshold:0.75, retain_rate:0.9982479194042926, average:0.05242829726262251
Threshold:0.8, retain_rate:0.9991239597021463, average:0.0530656702827523
Threshold:0.8500000000000001, retain_rate:0.9995619798510732, average:0.053405074549454236
Threshold:0.9, retain_rate:1.0, average:0.05376713978180226
Threshold:0.9500000000000001, retain_rate:1.0, average:0.05376713978180226
