Threshold:0.0, retain_rate:0.3203607024205031, average:0.0
Threshold:0.05, retain_rate:0.3246321784527765, average:0.0005839181225202232
Threshold:0.1, retain_rate:0.3659231134314191, average:0.009275486342483298
Threshold:0.15000000000000002, retain_rate:0.41338395823445656, average:0.0221470725539768
Threshold:0.2, retain_rate:0.45704793545325106, average:0.03639511948960096
Threshold:0.25, retain_rate:0.5121025154247746, average:0.05674569076056607
Threshold:0.30000000000000004, retain_rate:0.5429520645467489, average:0.06939029730726164
Threshold:0.35000000000000003, retain_rate:0.5908875177978168, average:0.09024722887928706
Threshold:0.4, retain_rate:0.6131941148552444, average:0.1003106034680878
Threshold:0.45, retain_rate:0.668248694826768, average:0.12655198902674866
Threshold:0.5, retain_rate:0.7247271001423825, average:0.15500831723544983
Threshold:0.55, retain_rate:0.7484575225439013, average:0.16711547226658635
Threshold:0.6000000000000001, retain_rate:0.7688656858092074, average:0.17782401187276398
Threshold:0.65, retain_rate:0.7935453251067869, average:0.1913457535180535
Threshold:0.7000000000000001, retain_rate:0.8334124347413384, average:0.21424715277359127
Threshold:0.75, retain_rate:0.8713811105837684, average:0.23699346404271057
Threshold:0.8, retain_rate:0.8799240626483151, average:0.24218635396487376
Threshold:0.8500000000000001, retain_rate:0.9074513526340768, average:0.2596994248651373
Threshold:0.9, retain_rate:0.9235880398671097, average:0.27046120260580836
Threshold:0.9500000000000001, retain_rate:0.9345040341718083, average:0.2780979178418297
