Threshold:0.0, retain_rate:0.2876127195064072, average:0.0
Threshold:0.05, retain_rate:0.3009017560512577, average:0.0017006309227048393
Threshold:0.1, retain_rate:0.3635500711912672, average:0.014175587423709906
Threshold:0.15000000000000002, retain_rate:0.42097769340294255, average:0.029072829918030813
Threshold:0.2, retain_rate:0.4803037494067394, average:0.04650543482142238
Threshold:0.25, retain_rate:0.5401044138585667, average:0.06618260131962267
Threshold:0.30000000000000004, retain_rate:0.5733270052206929, average:0.07849759943413219
Threshold:0.35000000000000003, retain_rate:0.6188894162316089, average:0.09666618098579119
Threshold:0.4, retain_rate:0.6449928808732796, average:0.10764069160593179
Threshold:0.45, retain_rate:0.6934029425723778, average:0.12935681080650907
Threshold:0.5, retain_rate:0.7541528239202658, average:0.1584316553926603
Threshold:0.55, retain_rate:0.770764119601329, average:0.16655277100671542
Threshold:0.6000000000000001, retain_rate:0.7935453251067869, average:0.1782486241569288
Threshold:0.65, retain_rate:0.825344091124822, average:0.1951019553453707
Threshold:0.7000000000000001, retain_rate:0.8628381585192216, average:0.21574884528095442
Threshold:0.75, retain_rate:0.8922638822971048, average:0.2328095746127532
Threshold:0.8, retain_rate:0.9050783103939251, average:0.24046754095885037
Threshold:0.8500000000000001, retain_rate:0.9297579496915045, average:0.25561357885903396
Threshold:0.9, retain_rate:0.946843853820598, average:0.26679969968876444
Threshold:0.9500000000000001, retain_rate:0.9553868058851448, average:0.2726525587899082
