Threshold:0.0, retain_rate:0.14523018509729474, average:0.0
Threshold:0.05, retain_rate:0.14950166112956811, average:0.0011790476148090653
Threshold:0.1, retain_rate:0.20408163265306123, average:0.0217213952090851
Threshold:0.15000000000000002, retain_rate:0.3160892263882297, average:0.05846846899068031
Threshold:0.2, retain_rate:0.43806359753203605, average:0.0908693392980008
Threshold:0.25, retain_rate:0.550545799715235, average:0.11822181078765927
Threshold:0.30000000000000004, retain_rate:0.6108210726150926, average:0.13358236238557233
Threshold:0.35000000000000003, retain_rate:0.6592311343141908, average:0.14740763161039078
Threshold:0.4, retain_rate:0.688656858092074, average:0.15686064797853455
Threshold:0.45, retain_rate:0.7446606549596583, average:0.17651701768904146
Threshold:0.5, retain_rate:0.8082581869957285, average:0.20110041138902526
Threshold:0.55, retain_rate:0.8296155671570954, average:0.20952059527607614
Threshold:0.6000000000000001, retain_rate:0.8528713811105838, average:0.2194038954712181
Threshold:0.65, retain_rate:0.8794494542002848, average:0.23148823564060944
Threshold:0.7000000000000001, retain_rate:0.9084005695301376, average:0.24555454581057265
Threshold:0.75, retain_rate:0.9297579496915045, average:0.25669826462583434
Threshold:0.8, retain_rate:0.9416231608922638, average:0.2632659781055765
Threshold:0.8500000000000001, retain_rate:0.9629805410536307, average:0.2755037460489012
Threshold:0.9, retain_rate:0.9738965353583294, average:0.28231734918615625
Threshold:0.9500000000000001, retain_rate:0.9805410536307546, average:0.28662531484289877
