Threshold:0.0, retain_rate:0.3981964878974846, average:0.0
Threshold:0.05, retain_rate:0.4148077835785477, average:0.001587414182722567
Threshold:0.1, retain_rate:0.4788799240626483, average:0.011208424137903386
Threshold:0.15000000000000002, retain_rate:0.5339345040341718, average:0.022724622297618118
Threshold:0.2, retain_rate:0.5832937826293308, average:0.03522115539186508
Threshold:0.25, retain_rate:0.6459420977693403, average:0.05368383562303174
Threshold:0.30000000000000004, retain_rate:0.6748932130991931, average:0.06338333337058202
Threshold:0.35000000000000003, retain_rate:0.7057427622211675, average:0.07474337597004943
Threshold:0.4, retain_rate:0.7218794494542002, average:0.08129789605908179
Threshold:0.45, retain_rate:0.7679164689131467, average:0.10156495715934687
Threshold:0.5, retain_rate:0.8172757475083057, average:0.1250759586053668
Threshold:0.55, retain_rate:0.8315140009492169, average:0.13213487462455314
Threshold:0.6000000000000001, retain_rate:0.8509729473184623, average:0.14217423305343432
Threshold:0.65, retain_rate:0.8690080683436165, average:0.15198847636527568
Threshold:0.7000000000000001, retain_rate:0.8941623160892264, average:0.1665813696645833
Threshold:0.75, retain_rate:0.9197911722828667, average:0.18243472666890045
Threshold:0.8, retain_rate:0.9283341243474134, average:0.18788609438592946
Threshold:0.8500000000000001, retain_rate:0.9487422876127195, average:0.2013281645181553
Threshold:0.9, retain_rate:0.9606074988134788, average:0.2096194668163144
Threshold:0.9500000000000001, retain_rate:0.9672520170859041, average:0.21450328797383472
