Threshold:0.0, retain_rate:0.2691029900332226, average:0.0
Threshold:0.05, retain_rate:0.2705268153773137, average:0.00020491227899727035
Threshold:0.1, retain_rate:0.29425723777883245, average:0.006413387086602947
Threshold:0.15000000000000002, retain_rate:0.3298528713811106, average:0.019141582994581123
Threshold:0.2, retain_rate:0.3654485049833887, average:0.034067662437627835
Threshold:0.25, retain_rate:0.4072140484100617, average:0.053551748629424946
Threshold:0.30000000000000004, retain_rate:0.4390128144280968, average:0.06981610812850901
Threshold:0.35000000000000003, retain_rate:0.4902705268153773, average:0.09663262327867925
Threshold:0.4, retain_rate:0.5130517323208353, average:0.10860943534410629
Threshold:0.45, retain_rate:0.5695301376364499, average:0.13886208372190595
Threshold:0.5, retain_rate:0.6454674893213099, average:0.18053250022999504
Threshold:0.55, retain_rate:0.6606549596582819, average:0.18867564654705682
Threshold:0.6000000000000001, retain_rate:0.6953013763644993, average:0.20776491404698572
Threshold:0.65, retain_rate:0.7242524916943521, average:0.22396395801228433
Threshold:0.7000000000000001, retain_rate:0.7764594209776934, average:0.25388649171149963
Threshold:0.75, retain_rate:0.8073089700996677, average:0.27231869505809236
Threshold:0.8, retain_rate:0.8248694826767916, average:0.2829634642873658
Threshold:0.8500000000000001, retain_rate:0.8694826767916469, average:0.31032833040134744
Threshold:0.9, retain_rate:0.8965353583293783, average:0.3273805194293273
Threshold:0.9500000000000001, retain_rate:0.9102990033222591, average:0.33633300378856495
