Threshold:0.0,  retain_rate:0.5083056478405316, average:0.0
Threshold:0.05,  retain_rate:0.512577123872805, average:0.000651549748456497
Threshold:0.1,  retain_rate:0.5529188419553868, average:0.010010315142678663
Threshold:0.15000000000000002,  retain_rate:0.5989558614143332, average:0.023581006523198292
Threshold:0.2,  retain_rate:0.6397721879449454, average:0.03796129405633814
Threshold:0.25,  retain_rate:0.6862838158519222, average:0.05660786547444082
Threshold:0.30000000000000004,  retain_rate:0.711438063597532, average:0.06797771333435247
Threshold:0.35000000000000003,  retain_rate:0.7503559563360228, average:0.08697477562262725
Threshold:0.4,  retain_rate:0.7698149027052682, average:0.09692796524210925
Threshold:0.45,  retain_rate:0.8073089700996677, average:0.11758881721591254
Threshold:0.5,  retain_rate:0.8429046037019459, average:0.1388315510508484
Threshold:0.55,  retain_rate:0.8599905078310394, average:0.1494708549023561
Threshold:0.6000000000000001,  retain_rate:0.8751779781680114, average:0.15923739976223258
Threshold:0.65,  retain_rate:0.8922638822971048, average:0.17082498221007628
Threshold:0.7000000000000001,  retain_rate:0.9150450878025629, average:0.18720773450933362
Threshold:0.75,  retain_rate:0.9335548172757475, average:0.20141673329472543
Threshold:0.8,  retain_rate:0.9383009017560513, average:0.20519112584409335
Threshold:0.8500000000000001,  retain_rate:0.9525391551969625, average:0.2171468182333878
Threshold:0.9,  retain_rate:0.9601328903654485, average:0.22389254505461162
Threshold:0.9500000000000001,  retain_rate:0.9653535832937826, average:0.22884582007813772
