Threshold:0.0,  retain_rate:0.47982914095870904, average:0.0
Threshold:0.05,  retain_rate:0.48884670147128617, average:0.0014564885530364863
Threshold:0.1,  retain_rate:0.5457997152349312, average:0.014965372637307602
Threshold:0.15000000000000002,  retain_rate:0.5946843853820598, average:0.029852744428767567
Threshold:0.2,  retain_rate:0.6454674893213099, average:0.04728477750305059
Threshold:0.25,  retain_rate:0.692453725676317, average:0.06556736642899379
Threshold:0.30000000000000004,  retain_rate:0.7223540579022306, average:0.07874360242235202
Threshold:0.35000000000000003,  retain_rate:0.7560512577123872, average:0.09481582337717945
Threshold:0.4,  retain_rate:0.7769340294257238, average:0.10540954897939421
Threshold:0.45,  retain_rate:0.8163265306122449, average:0.12683805640590495
Threshold:0.5,  retain_rate:0.8476506881822496, average:0.14533484402491012
Threshold:0.55,  retain_rate:0.8618889416231609, average:0.15426374051776778
Threshold:0.6000000000000001,  retain_rate:0.8799240626483151, average:0.16611602350942326
Threshold:0.65,  retain_rate:0.8998576174655909, average:0.17977151087210547
Threshold:0.7000000000000001,  retain_rate:0.9197911722828667, average:0.1942120113802876
Threshold:0.75,  retain_rate:0.9373516848599905, average:0.20768754251321575
Threshold:0.8,  retain_rate:0.9482676791646891, average:0.21640710469869642
Threshold:0.8500000000000001,  retain_rate:0.9615567157095396, average:0.22738552659284322
Threshold:0.9,  retain_rate:0.9729473184622687, average:0.23748335513585475
Threshold:0.9500000000000001,  retain_rate:0.9786426198386331, average:0.24275359914669226
