Threshold:0.0,  retain_rate:0.36687233032747985, average:0.0
Threshold:0.05,  retain_rate:0.3711438063597532, average:0.001298601393933061
Threshold:0.1,  retain_rate:0.4200284765068818, average:0.02156529547814231
Threshold:0.15000000000000002,  retain_rate:0.5253915519696251, average:0.05931603979874162
Threshold:0.2,  retain_rate:0.6355007119126721, average:0.09098054585737546
Threshold:0.25,  retain_rate:0.7342192691029901, average:0.11717545239345217
Threshold:0.30000000000000004,  retain_rate:0.7854769814902706, average:0.13172036274701898
Threshold:0.35000000000000003,  retain_rate:0.8267679164689131, average:0.14496845936471445
Threshold:0.4,  retain_rate:0.851922164214523, average:0.15409461144727868
Threshold:0.45,  retain_rate:0.8870431893687708, average:0.168291406039873
Threshold:0.5,  retain_rate:0.916468913146654, average:0.18180466926938982
Threshold:0.55,  retain_rate:0.9335548172757475, average:0.19023868147053336
Threshold:0.6000000000000001,  retain_rate:0.9473184622686284, average:0.19755980022003253
Threshold:0.65,  retain_rate:0.9615567157095396, average:0.20587222252065449
Threshold:0.7000000000000001,  retain_rate:0.9710488846701472, average:0.21191922606239397
Threshold:0.75,  retain_rate:0.9814902705268154, average:0.21910534362348968
Threshold:0.8,  retain_rate:0.9862363550071191, average:0.22263836924000802
Threshold:0.8500000000000001,  retain_rate:0.9933554817275747, average:0.22825660619770427
Threshold:0.9,  retain_rate:0.9966777408637874, average:0.23110492523072143
Threshold:0.9500000000000001,  retain_rate:0.9985761746559089, average:0.23280236320755449
