Threshold:0.0,  retain_rate:0.5970574276222117, average:0.0
Threshold:0.05,  retain_rate:0.6131941148552444, average:0.0017883134053483251
Threshold:0.1,  retain_rate:0.6725201708590413, average:0.012038496526590373
Threshold:0.15000000000000002,  retain_rate:0.7204556241101091, average:0.02347313589678051
Threshold:0.2,  retain_rate:0.7636449928808733, average:0.035923084064830677
Threshold:0.25,  retain_rate:0.813953488372093, average:0.052891496776406734
Threshold:0.30000000000000004,  retain_rate:0.8376839107736118, average:0.0621481240084349
Threshold:0.35000000000000003,  retain_rate:0.859515899383009, average:0.07155393087890864
Threshold:0.4,  retain_rate:0.8718557190317988, average:0.07750539289204796
Threshold:0.45,  retain_rate:0.8993830090175605, average:0.09214778794360327
Threshold:0.5,  retain_rate:0.9212149976269578, average:0.10505806026945738
Threshold:0.55,  retain_rate:0.9297579496915045, average:0.11049035233904568
Threshold:0.6000000000000001,  retain_rate:0.9401993355481728, average:0.11749251048763938
Threshold:0.65,  retain_rate:0.9501661129568106, average:0.12463007540768617
Threshold:0.7000000000000001,  retain_rate:0.9625059326056004, average:0.13417098753134263
Threshold:0.75,  retain_rate:0.9729473184622687, average:0.1428732630235225
Threshold:0.8,  retain_rate:0.9781680113906027, average:0.1474487520742099
Threshold:0.8500000000000001,  retain_rate:0.9867109634551495, average:0.15522876672519298
Threshold:0.9,  retain_rate:0.9905078310393926, average:0.15891485840674172
Threshold:0.9500000000000001,  retain_rate:0.9928808732795443, average:0.1613737931996776
