Threshold:0.0,  retain_rate:0.49406739439962033, average:0.0
Threshold:0.05,  retain_rate:0.4945420028476507, average:6.999999962069764e-05
Threshold:0.1,  retain_rate:0.5173232083531086, average:0.006252006680570715
Threshold:0.15000000000000002,  retain_rate:0.5514950166112956, average:0.018941045052080007
Threshold:0.2,  retain_rate:0.5856668248694826, average:0.03381549876253559
Threshold:0.25,  retain_rate:0.6245847176079734, average:0.05270546153911108
Threshold:0.30000000000000004,  retain_rate:0.6516373991457048, average:0.06723507386330985
Threshold:0.35000000000000003,  retain_rate:0.6957759848125297, average:0.09195585209241393
Threshold:0.4,  retain_rate:0.7157095396298054, average:0.10330305093034046
Threshold:0.45,  retain_rate:0.7593735168485999, average:0.1289513541472948
Threshold:0.5,  retain_rate:0.806359753203607, average:0.15870521981161098
Threshold:0.55,  retain_rate:0.8186995728523968, average:0.16659829690025188
Threshold:0.6000000000000001,  retain_rate:0.8400569530137636, average:0.1809177617418561
Threshold:0.65,  retain_rate:0.8576174655908875, average:0.19314182502688565
Threshold:0.7000000000000001,  retain_rate:0.8875177978168012, average:0.21491335282651017
Threshold:0.75,  retain_rate:0.9050783103939251, average:0.22851625453456972
Threshold:0.8,  retain_rate:0.9169435215946844, average:0.23795673648516338
Threshold:0.8500000000000001,  retain_rate:0.9349786426198387, average:0.25281725350026346
Threshold:0.9,  retain_rate:0.9496915045087803, average:0.2655703119286802
Threshold:0.9500000000000001,  retain_rate:0.9568106312292359, average:0.27201122096360825
