Threshold:0.0, retain_rate:0.16393442622950818, average:0.0
Threshold:0.05, retain_rate:0.31195756991321116, average:0.016904593541413725
Threshold:0.1, retain_rate:0.603182256509161, average:0.04500507001540016
Threshold:0.15000000000000002, retain_rate:0.7844744455159113, average:0.06328900701963994
Threshold:0.2, retain_rate:0.8987463837994214, average:0.07718439323752192
Threshold:0.25, retain_rate:0.940212150433944, average:0.08358517359498992
Threshold:0.30000000000000004, retain_rate:0.9619093539054966, average:0.08787141903027604
Threshold:0.35000000000000003, retain_rate:0.9768563162970106, average:0.0915225001613676
Threshold:0.4, retain_rate:0.9884281581485053, average:0.09483317799563867
Threshold:0.45, retain_rate:0.9927675988428158, average:0.09633106932444985
Threshold:0.5, retain_rate:0.993731918997107, average:0.09670196334828862
Threshold:0.55, retain_rate:0.9951783992285439, average:0.09734247464774422
Threshold:0.6000000000000001, retain_rate:0.9951783992285439, average:0.09734247464774422
Threshold:0.65, retain_rate:0.997589199614272, average:0.09861089325436552
Threshold:0.7000000000000001, retain_rate:0.9990356798457087, average:0.09943336782976943
Threshold:0.75, retain_rate:1.0, average:0.10006072234488055
Threshold:0.8, retain_rate:1.0, average:0.10006072234488055
Threshold:0.8500000000000001, retain_rate:1.0, average:0.10006072234488055
Threshold:0.9, retain_rate:1.0, average:0.10006072234488055
Threshold:0.9500000000000001, retain_rate:1.0, average:0.10006072234488055
