Threshold:0.0, retain_rate:0.16907577748576436, average:0.0
Threshold:0.05, retain_rate:0.5457731055628559, average:0.019362424123340577
Threshold:0.1, retain_rate:0.7906263688129654, average:0.03573741901689708
Threshold:0.15000000000000002, retain_rate:0.885676741130092, average:0.04492931290351713
Threshold:0.2, retain_rate:0.9211563731931669, average:0.049864119500178404
Threshold:0.25, retain_rate:0.9439334209373631, average:0.05405815125583034
Threshold:0.30000000000000004, retain_rate:0.9509417433201928, average:0.055721086204240176
Threshold:0.35000000000000003, retain_rate:0.9610162067455102, average:0.05855805842500533
Threshold:0.4, retain_rate:0.9653964082347788, average:0.06002879387499917
Threshold:0.45, retain_rate:0.9693385895751204, average:0.06152897847312643
Threshold:0.5, retain_rate:0.9829172141918529, average:0.0675021191920195
Threshold:0.55, retain_rate:0.9851073149364871, average:0.06851040144029859
Threshold:0.6000000000000001, retain_rate:0.9877354358300482, average:0.06989414810239672
Threshold:0.65, retain_rate:0.988173455978975, average:0.07013756719412777
Threshold:0.7000000000000001, retain_rate:0.9908015768725361, average:0.07173190206644826
Threshold:0.75, retain_rate:0.9925536574682435, average:0.0728976006271525
Threshold:0.8, retain_rate:0.994305738063951, average:0.07414315867145935
Threshold:0.8500000000000001, retain_rate:0.9960578186596584, average:0.07548452815789777
Threshold:0.9, retain_rate:0.9964958388085852, average:0.07582811423657249
Threshold:0.9500000000000001, retain_rate:0.9964958388085852, average:0.07582811423657249
