Threshold:0.0, retain_rate:0.3162970106075217, average:0.0
Threshold:0.05, retain_rate:0.4411764705882353, average:0.01255132821623695
Threshold:0.1, retain_rate:0.7058823529411765, average:0.03540123206734196
Threshold:0.15000000000000002, retain_rate:0.8621022179363549, average:0.05137313558526321
Threshold:0.2, retain_rate:0.9353905496624879, average:0.0610215253490714
Threshold:0.25, retain_rate:0.9686595949855352, average:0.06665687690433472
Threshold:0.30000000000000004, retain_rate:0.9821600771456124, average:0.06953993569752966
Threshold:0.35000000000000003, retain_rate:0.991321118611379, average:0.07185003661615963
Threshold:0.4, retain_rate:0.9966248794599807, average:0.07345135149157835
Threshold:0.45, retain_rate:0.997589199614272, average:0.07378173190101854
Threshold:0.5, retain_rate:0.9980713596914176, average:0.07396567572838302
Threshold:0.55, retain_rate:0.9990356798457087, average:0.07439945634698673
Threshold:0.6000000000000001, retain_rate:0.9990356798457087, average:0.07439945634698673
Threshold:0.65, retain_rate:0.9995178399228544, average:0.07466506201203883
Threshold:0.7000000000000001, retain_rate:1.0, average:0.07496447720581945
Threshold:0.75, retain_rate:1.0, average:0.07496447720581945
Threshold:0.8, retain_rate:1.0, average:0.07496447720581945
Threshold:0.8500000000000001, retain_rate:1.0, average:0.07496447720581945
Threshold:0.9, retain_rate:1.0, average:0.07496447720581945
Threshold:0.9500000000000001, retain_rate:1.0, average:0.07496447720581945
