Threshold:0.0, retain_rate:0.3250109505037232, average:0.0
Threshold:0.05, retain_rate:0.3867717915024091, average:0.007206066913148501
Threshold:0.1, retain_rate:0.6049058256679807, average:0.029636752933313328
Threshold:0.15000000000000002, retain_rate:0.7402540516863776, average:0.046570376313255175
Threshold:0.2, retain_rate:0.8173455978975033, average:0.05865440769967107
Threshold:0.25, retain_rate:0.870784056066579, average:0.06893186796503392
Threshold:0.30000000000000004, retain_rate:0.9049496276828735, average:0.07674746814134335
Threshold:0.35000000000000003, retain_rate:0.9299167761717039, average:0.08346092060138874
Threshold:0.4, retain_rate:0.9461235216819974, average:0.08859051742288557
Threshold:0.45, retain_rate:0.9583880858519492, average:0.09300431735524067
Threshold:0.5, retain_rate:0.9732807709154621, average:0.09903753676762726
Threshold:0.55, retain_rate:0.9789750328515112, average:0.1015607031454719
Threshold:0.6000000000000001, retain_rate:0.9829172141918529, average:0.10346670611390646
Threshold:0.65, retain_rate:0.9868593955321945, average:0.10553485415626188
Threshold:0.7000000000000001, retain_rate:0.9908015768725361, average:0.10777090112822392
Threshold:0.75, retain_rate:0.994305738063951, average:0.10992992747709746
Threshold:0.8, retain_rate:0.9947437582128777, average:0.11022553296918151
Threshold:0.8500000000000001, retain_rate:0.9956197985107315, average:0.1108549498423548
Threshold:0.9, retain_rate:0.9973718791064389, average:0.112227161842277
Threshold:0.9500000000000001, retain_rate:0.9978098992553658, average:0.11259248988556156
