Threshold:0.0, retain_rate:0.35679845708775315, average:0.0
Threshold:0.05, retain_rate:0.44696239151398265, average:0.007190651489970947
Threshold:0.1, retain_rate:0.6557377049180327, average:0.028932052952899107
Threshold:0.15000000000000002, retain_rate:0.7989392478302797, average:0.045842173742684185
Threshold:0.2, retain_rate:0.8948891031822566, average:0.05951112725824261
Threshold:0.25, retain_rate:0.940212150433944, average:0.0675387205004264
Threshold:0.30000000000000004, retain_rate:0.9623915139826422, average:0.07238917555807266
Threshold:0.35000000000000003, retain_rate:0.9811957569913211, average:0.07726874104174232
Threshold:0.4, retain_rate:0.9860173577627772, average:0.0787355657820755
Threshold:0.45, retain_rate:0.9908389585342333, average:0.08043279097150227
Threshold:0.5, retain_rate:0.993731918997107, average:0.08159276497518583
Threshold:0.55, retain_rate:0.9956605593056895, average:0.0824654993528432
Threshold:0.6000000000000001, retain_rate:0.9990356798457087, average:0.08416995003499106
Threshold:0.65, retain_rate:0.9990356798457087, average:0.08416995003499106
Threshold:0.7000000000000001, retain_rate:0.9990356798457087, average:0.08416995003499106
Threshold:0.75, retain_rate:0.9990356798457087, average:0.08416995003499106
Threshold:0.8, retain_rate:0.9995178399228544, average:0.08451526120236445
Threshold:0.8500000000000001, retain_rate:0.9995178399228544, average:0.08451526120236445
Threshold:0.9, retain_rate:0.9995178399228544, average:0.08451526120236445
Threshold:0.9500000000000001, retain_rate:1.0, average:0.08491283866036278
