Threshold:0.0, retain_rate:0.3026719229084538, average:0.0
Threshold:0.05, retain_rate:0.3771353482260184, average:0.006799524218328014
Threshold:0.1, retain_rate:0.4914586070959264, average:0.02251078612127674
Threshold:0.15000000000000002, retain_rate:0.5781865965834428, average:0.037552287218491916
Threshold:0.2, retain_rate:0.6434515987735436, average:0.051513782832087116
Threshold:0.25, retain_rate:0.6916338151554972, average:0.06390857762899409
Threshold:0.30000000000000004, retain_rate:0.7253613666228647, average:0.07382758753802286
Threshold:0.35000000000000003, retain_rate:0.7560227770477442, average:0.08420768366412926
Threshold:0.4, retain_rate:0.7823039859833553, average:0.09411185167697277
Threshold:0.45, retain_rate:0.8077091546211126, average:0.10476106657896907
Threshold:0.5, retain_rate:0.8931230836618484, average:0.142299233230828
Threshold:0.55, retain_rate:0.9023215067893123, average:0.14626723725671978
Threshold:0.6000000000000001, retain_rate:0.9128339903635567, average:0.1512189165759141
Threshold:0.65, retain_rate:0.9163381515549716, average:0.15301121798293876
Threshold:0.7000000000000001, retain_rate:0.9321068769163382, average:0.16173016299853737
Threshold:0.75, retain_rate:0.9417433201927289, average:0.16757775683809809
Threshold:0.8, retain_rate:0.9500657030223391, average:0.17303538426351317
Threshold:0.8500000000000001, retain_rate:0.9544459045116075, average:0.17597263193092563
Threshold:0.9, retain_rate:0.9597021462987297, average:0.1797625905632972
Threshold:0.9500000000000001, retain_rate:0.961892247043364, average:0.18145333102484168
