Threshold:0.0, retain_rate:0.2111861137897782, average:0.0
Threshold:0.05, retain_rate:0.281099324975892, average:0.009249398954564517
Threshold:0.1, retain_rate:0.45564127290260364, average:0.0358052890093544
Threshold:0.15000000000000002, retain_rate:0.6190935390549662, average:0.05966355703139985
Threshold:0.2, retain_rate:0.7647058823529411, average:0.08196771284906583
Threshold:0.25, retain_rate:0.8269045323047252, average:0.09290008586038329
Threshold:0.30000000000000004, retain_rate:0.8746383799421408, average:0.10298331652142764
Threshold:0.35000000000000003, retain_rate:0.9132111861137898, average:0.11239964465196446
Threshold:0.4, retain_rate:0.9382835101253616, average:0.11939437777415116
Threshold:0.45, retain_rate:0.9561234329797492, average:0.125184540901901
Threshold:0.5, retain_rate:0.9734811957569913, average:0.13148385453939637
Threshold:0.55, retain_rate:0.9783027965284474, average:0.1334485072656768
Threshold:0.6000000000000001, retain_rate:0.9845708775313404, average:0.1362631624752276
Threshold:0.65, retain_rate:0.9898746383799422, average:0.13888724804839275
Threshold:0.7000000000000001, retain_rate:0.9951783992285439, average:0.14172540432609718
Threshold:0.75, retain_rate:0.9971070395371263, average:0.14288459833733097
Threshold:0.8, retain_rate:0.9980713596914176, average:0.14350462808252717
Threshold:0.8500000000000001, retain_rate:0.9990356798457087, average:0.14415439839004082
Threshold:0.9, retain_rate:0.9995178399228544, average:0.14449833879464902
Threshold:0.9500000000000001, retain_rate:1.0, average:0.14488545069544845
