Threshold:0.0, retain_rate:0.2925974594831362, average:0.0
Threshold:0.05, retain_rate:0.33771353482260186, average:0.004309720802252353
Threshold:0.1, retain_rate:0.4161191414805081, average:0.0180446801243436
Threshold:0.15000000000000002, retain_rate:0.48007008322382827, average:0.03211590872209827
Threshold:0.2, retain_rate:0.5409548839246605, average:0.04843979474830597
Threshold:0.25, retain_rate:0.5781865965834428, average:0.060168434952738686
Threshold:0.30000000000000004, retain_rate:0.6149802890932983, average:0.07321422083150307
Threshold:0.35000000000000003, retain_rate:0.6548401226456417, average:0.08875088435919075
Threshold:0.4, retain_rate:0.6907577748576434, average:0.10401795700357071
Threshold:0.45, retain_rate:0.7087166009636443, average:0.11225022803054241
Threshold:0.5, retain_rate:0.8291721419185283, average:0.16804387653580088
Threshold:0.55, retain_rate:0.8423127463863338, average:0.17372171231032504
Threshold:0.6000000000000001, retain_rate:0.86508979413053, average:0.18445408191281557
Threshold:0.65, retain_rate:0.8729741568112133, average:0.18843229689068347
Threshold:0.7000000000000001, retain_rate:0.8896189224704336, average:0.1973838653397659
Threshold:0.75, retain_rate:0.9045116075339465, average:0.20616956263762484
Threshold:0.8, retain_rate:0.9141480508103372, average:0.2122629040547141
Threshold:0.8500000000000001, retain_rate:0.9246605343845817, average:0.2192055563554368
Threshold:0.9, retain_rate:0.9338589575120455, average:0.2256983731075645
Threshold:0.9500000000000001, retain_rate:0.9408672798948752, average:0.2309129819783308
