Threshold:0.0, retain_rate:0.11427193828351012, average:0.0
Threshold:0.05, retain_rate:0.35294117647058826, average:0.021746713139648616
Threshold:0.1, retain_rate:0.6972034715525555, average:0.04635998645409797
Threshold:0.15000000000000002, retain_rate:0.8717454194792671, average:0.06150100408373151
Threshold:0.2, retain_rate:0.9493731918997107, average:0.07057847402103046
Threshold:0.25, retain_rate:0.9797492767598843, average:0.07527024246009377
Threshold:0.30000000000000004, retain_rate:0.9927675988428158, average:0.07790509672083079
Threshold:0.35000000000000003, retain_rate:0.9956605593056895, average:0.07857954473887979
Threshold:0.4, retain_rate:0.997589199614272, average:0.07913198930400285
Threshold:0.45, retain_rate:0.9990356798457087, average:0.0796074081264951
Threshold:0.5, retain_rate:0.9995178399228544, average:0.07979601441070525
Threshold:0.55, retain_rate:0.9995178399228544, average:0.07979601441070525
Threshold:0.6000000000000001, retain_rate:0.9995178399228544, average:0.07979601441070525
Threshold:0.65, retain_rate:0.9995178399228544, average:0.07979601441070525
Threshold:0.7000000000000001, retain_rate:1.0, average:0.08007898000967147
Threshold:0.75, retain_rate:1.0, average:0.08007898000967147
Threshold:0.8, retain_rate:1.0, average:0.08007898000967147
Threshold:0.8500000000000001, retain_rate:1.0, average:0.08007898000967147
Threshold:0.9, retain_rate:1.0, average:0.08007898000967147
Threshold:0.9500000000000001, retain_rate:1.0, average:0.08007898000967147
