Threshold:0.0, retain_rate:0.18572054314498468, average:0.0
Threshold:0.05, retain_rate:0.48926850635129215, average:0.01791729495784797
Threshold:0.1, retain_rate:0.7415681121331581, average:0.036200259248393624
Threshold:0.15000000000000002, retain_rate:0.873850197109067, average:0.04922414201815881
Threshold:0.2, retain_rate:0.9391151992991678, average:0.057772785761077215
Threshold:0.25, retain_rate:0.967586508979413, average:0.06255545776236576
Threshold:0.30000000000000004, retain_rate:0.9859833552343408, average:0.06643039442780896
Threshold:0.35000000000000003, retain_rate:0.9921156373193167, average:0.06802429844173316
Threshold:0.4, retain_rate:0.9951817783618047, average:0.06896444119114463
Threshold:0.45, retain_rate:0.9964958388085852, average:0.0694325676687459
Threshold:0.5, retain_rate:0.9986859395532195, average:0.07032391153459965
Threshold:0.55, retain_rate:0.9995619798510732, average:0.07072255665466354
Threshold:0.6000000000000001, retain_rate:0.9995619798510732, average:0.07072255665466354
Threshold:0.65, retain_rate:0.9995619798510732, average:0.07072255665466354
Threshold:0.7000000000000001, retain_rate:1.0, average:0.07099698729407106
Threshold:0.75, retain_rate:1.0, average:0.07099698729407106
Threshold:0.8, retain_rate:1.0, average:0.07099698729407106
Threshold:0.8500000000000001, retain_rate:1.0, average:0.07099698729407106
Threshold:0.9, retain_rate:1.0, average:0.07099698729407106
Threshold:0.9500000000000001, retain_rate:1.0, average:0.07099698729407106
