Threshold:0.0, retain_rate:0.1398264223722276, average:0.0
Threshold:0.05, retain_rate:0.28833172613307617, average:0.018174596585850855
Threshold:0.1, retain_rate:0.5829315332690453, average:0.046392994669270445
Threshold:0.15000000000000002, retain_rate:0.7806171648987463, average:0.06588085854602152
Threshold:0.2, retain_rate:0.8871745419479267, average:0.07865323098025212
Threshold:0.25, retain_rate:0.9479267116682739, average:0.08794835029725344
Threshold:0.30000000000000004, retain_rate:0.970106075216972, average:0.09212803739025208
Threshold:0.35000000000000003, retain_rate:0.9864995178399228, average:0.09597195315491537
Threshold:0.4, retain_rate:0.993731918997107, average:0.09803068632106665
Threshold:0.45, retain_rate:0.9956605593056895, average:0.0986781898084354
Threshold:0.5, retain_rate:0.9995178399228544, average:0.10013774592539355
Threshold:0.55, retain_rate:1.0, average:0.10035245990780875
Threshold:0.6000000000000001, retain_rate:1.0, average:0.10035245990780875
Threshold:0.65, retain_rate:1.0, average:0.10035245990780875
Threshold:0.7000000000000001, retain_rate:1.0, average:0.10035245990780875
Threshold:0.75, retain_rate:1.0, average:0.10035245990780875
Threshold:0.8, retain_rate:1.0, average:0.10035245990780875
Threshold:0.8500000000000001, retain_rate:1.0, average:0.10035245990780875
Threshold:0.9, retain_rate:1.0, average:0.10035245990780875
Threshold:0.9500000000000001, retain_rate:1.0, average:0.10035245990780875
