Threshold:0.0, retain_rate:0.4608448030374941, average:0.0
Threshold:0.05, retain_rate:0.584717607973422, average:0.006717743878798236
Threshold:0.1, retain_rate:0.7361177028951116, average:0.020287113828806585
Threshold:0.15000000000000002, retain_rate:0.8191741813004272, average:0.03075209412521631
Threshold:0.2, retain_rate:0.8647365923113431, average:0.03854935627306834
Threshold:0.25, retain_rate:0.893687707641196, average:0.044758887166676725
Threshold:0.30000000000000004, retain_rate:0.9102990033222591, average:0.0489770968366928
Threshold:0.35000000000000003, retain_rate:0.9269102990033222, average:0.053861934774269336
Threshold:0.4, retain_rate:0.9439962031324157, average:0.05969914343048497
Threshold:0.45, retain_rate:0.9534883720930233, average:0.06339224389826878
Threshold:0.5, retain_rate:0.9639297579496915, average:0.06795056880691588
Threshold:0.55, retain_rate:0.9729473184622687, average:0.07220317716547198
Threshold:0.6000000000000001, retain_rate:0.9781680113906027, average:0.07487029074578301
Threshold:0.65, retain_rate:0.9805410536307546, average:0.07620904637266163
Threshold:0.7000000000000001, retain_rate:0.9843379212149976, average:0.07851294583999019
Threshold:0.75, retain_rate:0.9876601803512103, average:0.08066198811151548
Threshold:0.8, retain_rate:0.9938300901756051, average:0.0850267824840596
Threshold:0.8500000000000001, retain_rate:0.9981015662078785, average:0.08820186872549828
Threshold:0.9, retain_rate:0.9990507831039392, average:0.08897067305074968
Threshold:0.9500000000000001, retain_rate:0.9995253915519696, average:0.0893716049882058
