Threshold:0.0, retain_rate:0.38966666666666666, average:0.0
Threshold:0.05, retain_rate:0.515, average:0.008085068454535646
Threshold:0.1, retain_rate:0.7023333333333334, average:0.02525138386068522
Threshold:0.15000000000000002, retain_rate:0.791, average:0.0361719217866805
Threshold:0.2, retain_rate:0.842, average:0.044429629712148005
Threshold:0.25, retain_rate:0.8683333333333333, average:0.04999480320282129
Threshold:0.30000000000000004, retain_rate:0.8883333333333333, average:0.055086684344352106
Threshold:0.35000000000000003, retain_rate:0.9026666666666666, average:0.05937928830365862
Threshold:0.4, retain_rate:0.9236666666666666, average:0.06665158962730748
Threshold:0.45, retain_rate:0.933, average:0.07030291908947357
Threshold:0.5, retain_rate:0.9436666666666667, average:0.07495104642169785
Threshold:0.55, retain_rate:0.952, average:0.07895210072658172
Threshold:0.6000000000000001, retain_rate:0.961, average:0.08363416909856627
Threshold:0.65, retain_rate:0.969, average:0.08808985692069882
Threshold:0.7000000000000001, retain_rate:0.977, average:0.09289662856359696
Threshold:0.75, retain_rate:0.983, average:0.0967928554434766
Threshold:0.8, retain_rate:0.988, average:0.10022956119818789
Threshold:0.8500000000000001, retain_rate:0.9933333333333333, average:0.10414570458149267
Threshold:0.9, retain_rate:0.9983333333333333, average:0.10804037195366918
Threshold:0.9500000000000001, retain_rate:1.0, average:0.10940487768754474
