Threshold:0.0, retain_rate:0.4171808258186996, average:0.0
Threshold:0.05, retain_rate:0.4318936877076412, average:0.0012931214543776182
Threshold:0.1, retain_rate:0.49644043663977216, average:0.01142727773985821
Threshold:0.15000000000000002, retain_rate:0.5538680588514475, average:0.0232347023964273
Threshold:0.2, retain_rate:0.6027527289985761, average:0.03604457895648172
Threshold:0.25, retain_rate:0.6592311343141908, average:0.05279352553634449
Threshold:0.30000000000000004, retain_rate:0.702420503084955, average:0.06689235434340123
Threshold:0.35000000000000003, retain_rate:0.7308970099667774, average:0.07706867733368904
Threshold:0.4, retain_rate:0.7925961082107261, average:0.10119591848582249
Threshold:0.45, retain_rate:0.8229710488846701, average:0.11359073785256989
Threshold:0.5, retain_rate:0.8599905078310394, average:0.1296133463835803
Threshold:0.55, retain_rate:0.8775510204081632, average:0.13778533296016224
Threshold:0.6000000000000001, retain_rate:0.912672045562411, average:0.15456497086541307
Threshold:0.65, retain_rate:0.9254864736592311, average:0.1610019974166109
Threshold:0.7000000000000001, retain_rate:0.9411485524442335, average:0.16946354142950026
Threshold:0.75, retain_rate:0.958234456573327, average:0.17943604490379833
Threshold:0.8, retain_rate:0.9743711438063598, average:0.18941970970470523
Threshold:0.8500000000000001, retain_rate:0.9824394874228761, average:0.19467305282863478
Threshold:0.9, retain_rate:0.9947793070716658, average:0.20308197963332178
Threshold:0.9500000000000001, retain_rate:0.9981015662078785, average:0.20544150407514034
