Threshold:0.0, retain_rate:0.34, average:0.0
Threshold:0.05, retain_rate:0.3473333333333333, average:0.000845603332661364
Threshold:0.1, retain_rate:0.4063333333333333, average:0.012026083040720094
Threshold:0.15000000000000002, retain_rate:0.47333333333333333, average:0.02825604066804531
Threshold:0.2, retain_rate:0.5426666666666666, average:0.047192965138795465
Threshold:0.25, retain_rate:0.6026666666666667, average:0.06587413589822229
Threshold:0.30000000000000004, retain_rate:0.6406666666666667, average:0.0785536346273244
Threshold:0.35000000000000003, retain_rate:0.6923333333333334, average:0.09717427339522973
Threshold:0.4, retain_rate:0.73, average:0.11160423548302953
Threshold:0.45, retain_rate:0.777, average:0.13037447693440785
Threshold:0.5, retain_rate:0.8236666666666667, average:0.15071085070205514
Threshold:0.55, retain_rate:0.8423333333333334, average:0.1591761370282332
Threshold:0.6000000000000001, retain_rate:0.8843333333333333, average:0.1792780187561648
Threshold:0.65, retain_rate:0.9016666666666666, average:0.18785162185099974
Threshold:0.7000000000000001, retain_rate:0.9336666666666666, average:0.20450028715903223
Threshold:0.75, retain_rate:0.9586666666666667, average:0.21806745969592933
Threshold:0.8, retain_rate:0.9733333333333334, average:0.22647833665215475
Threshold:0.8500000000000001, retain_rate:0.9866666666666667, average:0.23450331773069333
Threshold:0.9, retain_rate:0.9953333333333333, average:0.24006795440985768
Threshold:0.9500000000000001, retain_rate:0.9996666666666667, average:0.24302022094656253
