Threshold:0.0, retain_rate:0.551, average:0.0
Threshold:0.05, retain_rate:0.58, average:0.0015464441205992302
Threshold:0.1, retain_rate:0.618, average:0.0062351801434785
Threshold:0.15000000000000002, retain_rate:0.663, average:0.01447105631816466
Threshold:0.2, retain_rate:0.733, average:0.0298372371309064
Threshold:0.25, retain_rate:0.792, average:0.044752624069891736
Threshold:0.30000000000000004, retain_rate:0.827, average:0.05467723283100426
Threshold:0.35000000000000003, retain_rate:0.86, average:0.06499868799780623
Threshold:0.4, retain_rate:0.901, average:0.07944572476053026
Threshold:0.45, retain_rate:0.93, average:0.09036837729567779
Threshold:0.5, retain_rate:0.948, average:0.09791014041641662
Threshold:0.55, retain_rate:0.954, average:0.1005915584103296
Threshold:0.6000000000000001, retain_rate:0.967, average:0.10693034985600416
Threshold:0.65, retain_rate:0.974, average:0.11060428273889025
Threshold:0.7000000000000001, retain_rate:0.987, average:0.11795428478215482
Threshold:0.75, retain_rate:0.993, average:0.12164616820826947
Threshold:0.8, retain_rate:0.994, average:0.12231424478523728
Threshold:0.8500000000000001, retain_rate:0.997, average:0.12442299103472808
Threshold:0.9, retain_rate:0.999, average:0.1258898976735832
Threshold:0.9500000000000001, retain_rate:0.999, average:0.1258898976735832
