Threshold:0.0, retain_rate:0.36212624584717606, average:0.0
Threshold:0.05, retain_rate:0.4148077835785477, average:0.0044129617547810545
Threshold:0.1, retain_rate:0.5472235405790223, average:0.02163121217718838
Threshold:0.15000000000000002, retain_rate:0.6355007119126721, average:0.03603036577540823
Threshold:0.2, retain_rate:0.7123872804935928, average:0.05119962665552476
Threshold:0.25, retain_rate:0.7631703844328429, average:0.06312372163253124
Threshold:0.30000000000000004, retain_rate:0.8016136687233033, average:0.07346195533674212
Threshold:0.35000000000000003, retain_rate:0.8277171333649739, average:0.08139744811712082
Threshold:0.4, retain_rate:0.8604651162790697, average:0.09278596640028883
Threshold:0.45, retain_rate:0.8803986710963455, average:0.10043182360226689
Threshold:0.5, retain_rate:0.9069767441860465, average:0.11175830485937785
Threshold:0.55, retain_rate:0.9216896060749882, average:0.11842943419333746
Threshold:0.6000000000000001, retain_rate:0.9406739439962032, average:0.12764914491326648
Threshold:0.65, retain_rate:0.9501661129568106, average:0.13263125579079438
Threshold:0.7000000000000001, retain_rate:0.9653535832937826, average:0.14110048612872372
Threshold:0.75, retain_rate:0.977218794494542, average:0.1482190222334324
Threshold:0.8, retain_rate:0.9881347887992407, average:0.15525649605652994
Threshold:0.8500000000000001, retain_rate:0.992406264831514, average:0.1581565948584926
Threshold:0.9, retain_rate:0.9976269577598481, average:0.16193993732458345
Threshold:0.9500000000000001, retain_rate:0.9995253915519696, average:0.16337513015406327
