Threshold:0.0, retain_rate:0.14233333333333334, average:0.0
Threshold:0.05, retain_rate:0.188, average:0.009172668185263116
Threshold:0.1, retain_rate:0.32866666666666666, average:0.03836155795173215
Threshold:0.15000000000000002, retain_rate:0.461, average:0.06311510550594211
Threshold:0.2, retain_rate:0.559, average:0.0830369947539518
Threshold:0.25, retain_rate:0.625, average:0.098606048531401
Threshold:0.30000000000000004, retain_rate:0.674, average:0.11161432697363576
Threshold:0.35000000000000003, retain_rate:0.7123333333333334, average:0.1231118507130723
Threshold:0.4, retain_rate:0.757, average:0.13822615818410924
Threshold:0.45, retain_rate:0.78, average:0.14681579093945488
Threshold:0.5, retain_rate:0.8123333333333334, average:0.16007318713194
Threshold:0.55, retain_rate:0.8433333333333334, average:0.17373629865797102
Threshold:0.6000000000000001, retain_rate:0.8633333333333333, average:0.18311241510590934
Threshold:0.65, retain_rate:0.8823333333333333, average:0.19261309609026991
Threshold:0.7000000000000001, retain_rate:0.913, average:0.20873290082249588
Threshold:0.75, retain_rate:0.934, average:0.22041887692599954
Threshold:0.8, retain_rate:0.9553333333333334, average:0.23288910502620858
Threshold:0.8500000000000001, retain_rate:0.9706666666666667, average:0.24229390039306367
Threshold:0.9, retain_rate:0.9856666666666667, average:0.2519413935050114
Threshold:0.9500000000000001, retain_rate:0.9943333333333333, average:0.25777841704371257
