Threshold:0.0, retain_rate:0.35263407688656856, average:0.0
Threshold:0.05, retain_rate:0.42097769340294255, average:0.005085984891702257
Threshold:0.1, retain_rate:0.540579022306597, average:0.020771146778342388
Threshold:0.15000000000000002, retain_rate:0.6260085429520645, average:0.03467782509174489
Threshold:0.2, retain_rate:0.6915045087802563, average:0.04779191174693636
Threshold:0.25, retain_rate:0.730422401518747, average:0.0575940319885884
Threshold:0.30000000000000004, retain_rate:0.7664926435690556, average:0.06801306881441768
Threshold:0.35000000000000003, retain_rate:0.8073089700996677, average:0.08129710063969695
Threshold:0.4, retain_rate:0.8381585192216422, average:0.09235745275776944
Threshold:0.45, retain_rate:0.8504983388704319, average:0.0972983147849328
Threshold:0.5, retain_rate:0.8932130991931656, average:0.11604403611513
Threshold:0.55, retain_rate:0.9060275272899858, average:0.12183920717976214
Threshold:0.6000000000000001, retain_rate:0.9273849074513526, average:0.1323104704725406
Threshold:0.65, retain_rate:0.9373516848599905, average:0.13752823489120428
Threshold:0.7000000000000001, retain_rate:0.9549121974371144, average:0.14731621609087966
Threshold:0.75, retain_rate:0.9644043663977219, average:0.15307884935037533
Threshold:0.8, retain_rate:0.977218794494542, average:0.16132484111935902
Threshold:0.8500000000000001, retain_rate:0.9900332225913622, average:0.1699727538098389
Threshold:0.9, retain_rate:0.9952539155196962, average:0.17371790854583388
Threshold:0.9500000000000001, retain_rate:0.9995253915519696, average:0.17689614733022116
