Threshold:0.0, retain_rate:0.25666666666666665, average:0.0
Threshold:0.05, retain_rate:0.31766666666666665, average:0.006348391636686778
Threshold:0.1, retain_rate:0.444, average:0.026243062981735277
Threshold:0.15000000000000002, retain_rate:0.543, average:0.04435021573377364
Threshold:0.2, retain_rate:0.621, average:0.060762170919483785
Threshold:0.25, retain_rate:0.6713333333333333, average:0.07341943178902206
Threshold:0.30000000000000004, retain_rate:0.7136666666666667, average:0.08558036876135837
Threshold:0.35000000000000003, retain_rate:0.7433333333333333, average:0.09514662294712524
Threshold:0.4, retain_rate:0.7776666666666666, average:0.10748234947836052
Threshold:0.45, retain_rate:0.8053333333333333, average:0.1186765581681952
Threshold:0.5, retain_rate:0.836, average:0.13191534792920973
Threshold:0.55, retain_rate:0.86, average:0.14316621287839992
Threshold:0.6000000000000001, retain_rate:0.882, average:0.15399361143977863
Threshold:0.65, retain_rate:0.905, average:0.1659374523900351
Threshold:0.7000000000000001, retain_rate:0.9353333333333333, average:0.182388049116523
Threshold:0.75, retain_rate:0.953, average:0.19245404528865956
Threshold:0.8, retain_rate:0.9716666666666667, average:0.2036589889141209
Threshold:0.8500000000000001, retain_rate:0.9843333333333333, average:0.2117067319419799
Threshold:0.9, retain_rate:0.995, average:0.21884721929495382
Threshold:0.9500000000000001, retain_rate:0.9996666666666667, average:0.2221504792100564
