Threshold:0.0, retain_rate:0.4205030849549122, average:0.0
Threshold:0.05, retain_rate:0.43284290460370195, average:0.0010317774702217918
Threshold:0.1, retain_rate:0.4807783578547698, average:0.008946435768203616
Threshold:0.15000000000000002, retain_rate:0.5220692928334124, average:0.018285721962704834
Threshold:0.2, retain_rate:0.574750830564784, average:0.032889042701523576
Threshold:0.25, retain_rate:0.6288561936402468, average:0.05043063934319209
Threshold:0.30000000000000004, retain_rate:0.6658756525866161, average:0.06328965782791322
Threshold:0.35000000000000003, retain_rate:0.7441860465116279, average:0.09131615079618093
Threshold:0.4, retain_rate:0.7940199335548173, average:0.10980132443205631
Threshold:0.45, retain_rate:0.817750355956336, average:0.11923648789071906
Threshold:0.5, retain_rate:0.8723303274798292, average:0.14261658224170756
Threshold:0.55, retain_rate:0.8894162316089227, average:0.15010968298956742
Threshold:0.6000000000000001, retain_rate:0.9174181300427148, average:0.16322573929946724
Threshold:0.65, retain_rate:0.9269102990033222, average:0.1679158303024192
Threshold:0.7000000000000001, retain_rate:0.9501661129568106, average:0.18022671685197494
Threshold:0.75, retain_rate:0.9629805410536307, average:0.18754064276451984
Threshold:0.8, retain_rate:0.977218794494542, average:0.19623472880790852
Threshold:0.8500000000000001, retain_rate:0.988609397247271, average:0.20351044269351792
Threshold:0.9, retain_rate:0.9957285239677266, average:0.20831284849319964
Threshold:0.9500000000000001, retain_rate:0.9995253915519696, average:0.21103298330627143
