Threshold:0.0, retain_rate:0.49266666666666664, average:0.0
Threshold:0.05, retain_rate:0.498, average:0.0004197567467754834
Threshold:0.1, retain_rate:0.5376666666666666, average:0.00638923834674725
Threshold:0.15000000000000002, retain_rate:0.5906666666666667, average:0.01721695707688915
Threshold:0.2, retain_rate:0.648, average:0.031236503616172247
Threshold:0.25, retain_rate:0.6946666666666667, average:0.04447429172093109
Threshold:0.30000000000000004, retain_rate:0.748, average:0.06133819367070281
Threshold:0.35000000000000003, retain_rate:0.7803333333333333, average:0.07220799108771594
Threshold:0.4, retain_rate:0.8196666666666667, average:0.08669836372857533
Threshold:0.45, retain_rate:0.8526666666666667, average:0.100126166831567
Threshold:0.5, retain_rate:0.881, average:0.11225113348886902
Threshold:0.55, retain_rate:0.9103333333333333, average:0.12596615686489612
Threshold:0.6000000000000001, retain_rate:0.925, average:0.13313216045034906
Threshold:0.65, retain_rate:0.942, average:0.1419996126908832
Threshold:0.7000000000000001, retain_rate:0.964, average:0.1541323526082616
Threshold:0.75, retain_rate:0.9733333333333334, average:0.15959500485666567
Threshold:0.8, retain_rate:0.989, average:0.16933239138299674
Threshold:0.8500000000000001, retain_rate:0.996, average:0.17394691696397874
Threshold:0.9, retain_rate:0.9993333333333333, average:0.1762674315062385
Threshold:0.9500000000000001, retain_rate:1.0, average:0.1767670419253072
