Threshold:0.0, retain_rate:0.4053156146179402, average:0.0
Threshold:0.05, retain_rate:0.44233507356430946, average:0.0027140315237938997
Threshold:0.1, retain_rate:0.4950166112956811, average:0.010710502098840358
Threshold:0.15000000000000002, retain_rate:0.5377313716184148, average:0.019857405293639146
Threshold:0.2, retain_rate:0.5904129093497864, average:0.03377575888924058
Threshold:0.25, retain_rate:0.6331276696725202, average:0.04716165217208924
Threshold:0.30000000000000004, retain_rate:0.673469387755102, average:0.06122389503800223
Threshold:0.35000000000000003, retain_rate:0.7133364973896535, average:0.076035234627547
Threshold:0.4, retain_rate:0.7679164689131467, average:0.09836245594960688
Threshold:0.45, retain_rate:0.798766018035121, average:0.11143124738843191
Threshold:0.5, retain_rate:0.8310393925011865, average:0.12600420075031807
Threshold:0.55, retain_rate:0.8438538205980066, average:0.13225323908547806
Threshold:0.6000000000000001, retain_rate:0.8718557190317988, average:0.14647839039159047
Threshold:0.65, retain_rate:0.8870431893687708, average:0.1545860636580889
Threshold:0.7000000000000001, retain_rate:0.9273849074513526, average:0.17691853742473296
Threshold:0.75, retain_rate:0.9406739439962032, average:0.1847758996265346
Threshold:0.8, retain_rate:0.9625059326056004, average:0.1985489556975171
Threshold:0.8500000000000001, retain_rate:0.9700996677740864, average:0.2034920948011384
Threshold:0.9, retain_rate:0.9895586141433318, average:0.21654746024458796
Threshold:0.9500000000000001, retain_rate:0.9981015662078785, average:0.2225700123554524
