Threshold:0.0, retain_rate:0.20333333333333334, average:0.0
Threshold:0.05, retain_rate:0.22533333333333333, average:0.0030089111030291646
Threshold:0.1, retain_rate:0.28633333333333333, average:0.01943442750622461
Threshold:0.15000000000000002, retain_rate:0.37833333333333335, average:0.04519567175234873
Threshold:0.2, retain_rate:0.47333333333333333, average:0.07195604582627112
Threshold:0.25, retain_rate:0.5423333333333333, average:0.09218035492100732
Threshold:0.30000000000000004, retain_rate:0.5956666666666667, average:0.10906148512319128
Threshold:0.35000000000000003, retain_rate:0.6443333333333333, average:0.12547086124422566
Threshold:0.4, retain_rate:0.6913333333333334, average:0.14285248228773634
Threshold:0.45, retain_rate:0.7296666666666667, average:0.1577003965844291
Threshold:0.5, retain_rate:0.7826666666666666, average:0.1799487010654867
Threshold:0.55, retain_rate:0.8043333333333333, average:0.18952484609217235
Threshold:0.6000000000000001, retain_rate:0.835, average:0.20385902063981548
Threshold:0.65, retain_rate:0.854, average:0.21319712318292394
Threshold:0.7000000000000001, retain_rate:0.894, average:0.2336200063762458
Threshold:0.75, retain_rate:0.9173333333333333, average:0.24630814161580597
Threshold:0.8, retain_rate:0.936, average:0.25699068650076173
Threshold:0.8500000000000001, retain_rate:0.951, average:0.26594275589685556
Threshold:0.9, retain_rate:0.9716666666666667, average:0.27892085889620716
Threshold:0.9500000000000001, retain_rate:0.991, average:0.29153927246917005
