Threshold:0.0, retain_rate:0.16730038022813687, average:0.0
Threshold:0.05, retain_rate:0.3068984247691472, average:0.016458102376079448
Threshold:0.1, retain_rate:0.5464421510048887, average:0.042693046429675495
Threshold:0.15000000000000002, retain_rate:0.7343834872351983, average:0.0634534365073137
Threshold:0.2, retain_rate:0.8457360130363932, average:0.07813117732424563
Threshold:0.25, retain_rate:0.9141770776751765, average:0.08909067405155455
Threshold:0.30000000000000004, retain_rate:0.9435089625203693, average:0.0949033492899861
Threshold:0.35000000000000003, retain_rate:0.9560021727322108, average:0.0978367302835109
Threshold:0.4, retain_rate:0.9722976643128735, average:0.10252108438626131
Threshold:0.45, retain_rate:0.9826181423139598, average:0.105934403427347
Threshold:0.5, retain_rate:0.9885931558935361, average:0.10819905794050894
Threshold:0.55, retain_rate:0.9918522542096686, average:0.10959774109769425
Threshold:0.6000000000000001, retain_rate:0.9951113525258012, average:0.11112863543577471
Threshold:0.65, retain_rate:0.9961977186311787, average:0.11167853290572984
Threshold:0.7000000000000001, retain_rate:0.9972840847365562, average:0.11228309514294219
Threshold:0.75, retain_rate:0.9983704508419338, average:0.11293358582680563
Threshold:0.8, retain_rate:0.9994568169473113, average:0.11366831985187312
Threshold:0.8500000000000001, retain_rate:0.9994568169473113, average:0.11366831985187312
Threshold:0.9, retain_rate:1.0, average:0.11408940652706974
Threshold:0.9500000000000001, retain_rate:1.0, average:0.11408940652706974
