Threshold:0.0, retain_rate:0.14466666666666667, average:0.0
Threshold:0.05, retain_rate:0.2783333333333333, average:0.017113539850666507
Threshold:0.1, retain_rate:0.5223333333333333, average:0.04475064662034619
Threshold:0.15000000000000002, retain_rate:0.7203333333333334, average:0.06654762958305661
Threshold:0.2, retain_rate:0.8506666666666667, average:0.08307147069276576
Threshold:0.25, retain_rate:0.9126666666666666, average:0.09276888930508355
Threshold:0.30000000000000004, retain_rate:0.947, average:0.09940059065412153
Threshold:0.35000000000000003, retain_rate:0.966, average:0.10381968702182803
Threshold:0.4, retain_rate:0.9776666666666667, average:0.10706863235185951
Threshold:0.45, retain_rate:0.9846666666666667, average:0.10932526040838418
Threshold:0.5, retain_rate:0.9913333333333333, average:0.11178759723469725
Threshold:0.55, retain_rate:0.9933333333333333, average:0.11263049701225522
Threshold:0.6000000000000001, retain_rate:0.997, average:0.11433543475809173
Threshold:0.65, retain_rate:0.9973333333333333, average:0.11450693059553624
Threshold:0.7000000000000001, retain_rate:0.998, average:0.11487936618682358
Threshold:0.75, retain_rate:0.9986666666666667, average:0.11528817350397039
Threshold:0.8, retain_rate:0.9986666666666667, average:0.11528817350397039
Threshold:0.8500000000000001, retain_rate:0.9993333333333333, average:0.11575786440804357
Threshold:0.9, retain_rate:0.9996666666666667, average:0.11600507514253335
Threshold:0.9500000000000001, retain_rate:1.0, average:0.1162740990918448
