Threshold:0.0, retain_rate:0.3356871265616513, average:0.0
Threshold:0.05, retain_rate:0.44758283541553506, average:0.011405818064447492
Threshold:0.1, retain_rate:0.7077675176534493, average:0.03413376435483064
Threshold:0.15000000000000002, retain_rate:0.8446496469310157, average:0.04820735546463126
Threshold:0.2, retain_rate:0.9342748506246605, average:0.06011642098166956
Threshold:0.25, retain_rate:0.9706681151548072, average:0.06625970353195615
Threshold:0.30000000000000004, retain_rate:0.9853340575774036, average:0.06935226656771255
Threshold:0.35000000000000003, retain_rate:0.993481803367735, average:0.0714637423070517
Threshold:0.4, retain_rate:0.9972840847365562, average:0.07260443728150975
Threshold:0.45, retain_rate:0.997827267789245, average:0.0727982135424188
Threshold:0.5, retain_rate:0.9983704508419338, average:0.07300971530955484
Threshold:0.55, retain_rate:0.9989136338946225, average:0.07326661842545751
Threshold:0.6000000000000001, retain_rate:0.9994568169473113, average:0.07353250613283498
Threshold:0.65, retain_rate:0.9994568169473113, average:0.07353250613283498
Threshold:0.7000000000000001, retain_rate:1.0, average:0.07387279265856402
Threshold:0.75, retain_rate:1.0, average:0.07387279265856402
Threshold:0.8, retain_rate:1.0, average:0.07387279265856402
Threshold:0.8500000000000001, retain_rate:1.0, average:0.07387279265856402
Threshold:0.9, retain_rate:1.0, average:0.07387279265856402
Threshold:0.9500000000000001, retain_rate:1.0, average:0.07387279265856402
