Threshold:0.0, retain_rate:0.3293333333333333, average:0.0
Threshold:0.05, retain_rate:0.43933333333333335, average:0.011219292365122157
Threshold:0.1, retain_rate:0.6796666666666666, average:0.033838194069115826
Threshold:0.15000000000000002, retain_rate:0.8296666666666667, average:0.05014373139098211
Threshold:0.2, retain_rate:0.9206666666666666, average:0.06224615964980467
Threshold:0.25, retain_rate:0.9623333333333334, average:0.0692317297293474
Threshold:0.30000000000000004, retain_rate:0.979, average:0.07275287415060946
Threshold:0.35000000000000003, retain_rate:0.9883333333333333, average:0.07512540389195477
Threshold:0.4, retain_rate:0.9943333333333333, average:0.07692820519525805
Threshold:0.45, retain_rate:0.995, average:0.07716604200355405
Threshold:0.5, retain_rate:0.9966666666666667, average:0.07782843627036254
Threshold:0.55, retain_rate:0.998, average:0.0784404107064486
Threshold:0.6000000000000001, retain_rate:0.9986666666666667, average:0.07877348182906174
Threshold:0.65, retain_rate:0.999, average:0.07895953126334088
Threshold:0.7000000000000001, retain_rate:0.9996666666666667, average:0.07936113172284505
Threshold:0.75, retain_rate:0.9996666666666667, average:0.07936113172284505
Threshold:0.8, retain_rate:0.9996666666666667, average:0.07936113172284505
Threshold:0.8500000000000001, retain_rate:1.0, average:0.0796055113456041
Threshold:0.9, retain_rate:1.0, average:0.0796055113456041
Threshold:0.9500000000000001, retain_rate:1.0, average:0.0796055113456041
