Threshold:0.0, retain_rate:0.3628462791960891, average:0.0
Threshold:0.05, retain_rate:0.43508962520369365, average:0.00596537604494376
Threshold:0.1, retain_rate:0.6219445953286258, average:0.027508059650892203
Threshold:0.15000000000000002, retain_rate:0.7517653449212385, average:0.0441782316823846
Threshold:0.2, retain_rate:0.8652906029331885, average:0.06128742500859175
Threshold:0.25, retain_rate:0.9217816404128191, average:0.07157012357222023
Threshold:0.30000000000000004, retain_rate:0.9549158066268333, average:0.07866057901256003
Threshold:0.35000000000000003, retain_rate:0.9717544812601847, average:0.08290699776442968
Threshold:0.4, retain_rate:0.986420423682781, average:0.08729879477308543
Threshold:0.45, retain_rate:0.9902227050516024, average:0.08859014045944995
Threshold:0.5, retain_rate:0.9913090711569799, average:0.08900304766482914
Threshold:0.55, retain_rate:0.9945681694731124, average:0.0904817199852203
Threshold:0.6000000000000001, retain_rate:0.9967409016838674, average:0.09155259586916757
Threshold:0.65, retain_rate:0.9972840847365562, average:0.09184933390865258
Threshold:0.7000000000000001, retain_rate:0.9983704508419338, average:0.09249295088299934
Threshold:0.75, retain_rate:0.9994568169473113, average:0.09319528067947042
Threshold:0.8, retain_rate:0.9994568169473113, average:0.09319528067947042
Threshold:0.8500000000000001, retain_rate:0.9994568169473113, average:0.09319528067947042
Threshold:0.9, retain_rate:0.9994568169473113, average:0.09319528067947042
Threshold:0.9500000000000001, retain_rate:1.0, average:0.09363846135758633
