Threshold:0.0, retain_rate:0.349, average:0.0
Threshold:0.05, retain_rate:0.425, average:0.0067675515770914095
Threshold:0.1, retain_rate:0.6143333333333333, average:0.02821051768002629
Threshold:0.15000000000000002, retain_rate:0.757, average:0.046103722309392005
Threshold:0.2, retain_rate:0.8563333333333333, average:0.061172540483950044
Threshold:0.25, retain_rate:0.9093333333333333, average:0.07089186804991521
Threshold:0.30000000000000004, retain_rate:0.9423333333333334, average:0.07806694026522586
Threshold:0.35000000000000003, retain_rate:0.9623333333333334, average:0.08315002715394824
Threshold:0.4, retain_rate:0.979, average:0.08818176741414625
Threshold:0.45, retain_rate:0.9853333333333333, average:0.09032978540123103
Threshold:0.5, retain_rate:0.9916666666666667, average:0.09283879208891793
Threshold:0.55, retain_rate:0.9956666666666667, average:0.09458278590656755
Threshold:0.6000000000000001, retain_rate:0.9976666666666667, average:0.09554481311253366
Threshold:0.65, retain_rate:0.9983333333333333, average:0.09589635448740211
Threshold:0.7000000000000001, retain_rate:0.9986666666666667, average:0.09608686527250866
Threshold:0.75, retain_rate:0.9993333333333333, average:0.0965070055845233
Threshold:0.8, retain_rate:0.9996666666666667, average:0.09674158144128073
Threshold:0.8500000000000001, retain_rate:1.0, average:0.0969801675808003
Threshold:0.9, retain_rate:1.0, average:0.0969801675808003
Threshold:0.9500000000000001, retain_rate:1.0, average:0.0969801675808003
