Threshold:0.0, retain_rate:0.2216186854970125, average:0.0
Threshold:0.05, retain_rate:0.25203693644758285, average:0.004793325881594636
Threshold:0.1, retain_rate:0.39380771319934815, average:0.031663057638710204
Threshold:0.15000000000000002, retain_rate:0.5399239543726235, average:0.057231752506992056
Threshold:0.2, retain_rate:0.6751765344921239, average:0.08105016526876052
Threshold:0.25, retain_rate:0.7729494839761, average:0.09968981468444169
Threshold:0.30000000000000004, retain_rate:0.8343291689299294, average:0.11270241504192331
Threshold:0.35000000000000003, retain_rate:0.8777838131450298, average:0.12313095999677351
Threshold:0.4, retain_rate:0.9174361759913091, average:0.13406355314472296
Threshold:0.45, retain_rate:0.933188484519283, average:0.13904726469454806
Threshold:0.5, retain_rate:0.9598044541010321, average:0.148537821950508
Threshold:0.55, retain_rate:0.9728408473655622, average:0.15357399177803419
Threshold:0.6000000000000001, retain_rate:0.9826181423139598, average:0.15781988168309252
Threshold:0.65, retain_rate:0.9869636067354699, average:0.1598677314193758
Threshold:0.7000000000000001, retain_rate:0.9923954372623575, average:0.16265991679748537
Threshold:0.75, retain_rate:0.9967409016838674, average:0.16512571128723535
Threshold:0.8, retain_rate:0.9972840847365562, average:0.16546372249335028
Threshold:0.8500000000000001, retain_rate:0.9989136338946225, average:0.1665532324620941
Threshold:0.9, retain_rate:1.0, average:0.16731316532044213
Threshold:0.9500000000000001, retain_rate:1.0, average:0.16731316532044213
