Threshold:0.0, retain_rate:0.21566666666666667, average:0.0
Threshold:0.05, retain_rate:0.262, average:0.006865264974753189
Threshold:0.1, retain_rate:0.42033333333333334, average:0.0339769932892632
Threshold:0.15000000000000002, retain_rate:0.5723333333333334, average:0.05801561943984501
Threshold:0.2, retain_rate:0.7116666666666667, average:0.08093408356633273
Threshold:0.25, retain_rate:0.8043333333333333, average:0.09804491479464045
Threshold:0.30000000000000004, retain_rate:0.8546666666666667, average:0.10864084557605047
Threshold:0.35000000000000003, retain_rate:0.9036666666666666, average:0.12032455345171714
Threshold:0.4, retain_rate:0.9346666666666666, average:0.1288061838567578
Threshold:0.45, retain_rate:0.9503333333333334, average:0.13377604903150797
Threshold:0.5, retain_rate:0.968, average:0.14004276320093192
Threshold:0.55, retain_rate:0.9793333333333333, average:0.1445964528356721
Threshold:0.6000000000000001, retain_rate:0.9866666666666667, average:0.1478475347779116
Threshold:0.65, retain_rate:0.9916666666666667, average:0.1502481319492846
Threshold:0.7000000000000001, retain_rate:0.9956666666666667, average:0.15232279630034207
Threshold:0.75, retain_rate:0.997, average:0.15308301886734824
Threshold:0.8, retain_rate:0.9976666666666667, average:0.15349119976315553
Threshold:0.8500000000000001, retain_rate:0.9993333333333333, average:0.1545919721598288
Threshold:0.9, retain_rate:0.9996666666666667, average:0.15483681941449004
Threshold:0.9500000000000001, retain_rate:0.9996666666666667, average:0.15483681941449004
