Threshold:0.0, retain_rate:0.108, average:0.0
Threshold:0.05, retain_rate:0.30833333333333335, average:0.02146454850998398
Threshold:0.1, retain_rate:0.644, average:0.0484938020110698
Threshold:0.15000000000000002, retain_rate:0.846, average:0.06590168538978852
Threshold:0.2, retain_rate:0.9303333333333333, average:0.07550225568927289
Threshold:0.25, retain_rate:0.9723333333333334, average:0.08191777435261906
Threshold:0.30000000000000004, retain_rate:0.986, average:0.08463468908067595
Threshold:0.35000000000000003, retain_rate:0.9943333333333333, average:0.08662398320868002
Threshold:0.4, retain_rate:0.9966666666666667, average:0.08729492056890042
Threshold:0.45, retain_rate:0.9986666666666667, average:0.08796736107024906
Threshold:0.5, retain_rate:0.9996666666666667, average:0.08834880190187434
Threshold:0.55, retain_rate:1.0, average:0.088500758196932
Threshold:0.6000000000000001, retain_rate:1.0, average:0.088500758196932
Threshold:0.65, retain_rate:1.0, average:0.088500758196932
Threshold:0.7000000000000001, retain_rate:1.0, average:0.088500758196932
Threshold:0.75, retain_rate:1.0, average:0.088500758196932
Threshold:0.8, retain_rate:1.0, average:0.088500758196932
Threshold:0.8500000000000001, retain_rate:1.0, average:0.088500758196932
Threshold:0.9, retain_rate:1.0, average:0.088500758196932
Threshold:0.9500000000000001, retain_rate:1.0, average:0.088500758196932
