Threshold:0.0, retain_rate:0.1385116784356328, average:0.0
Threshold:0.05, retain_rate:0.2536664856056491, average:0.0161368336287771
Threshold:0.1, retain_rate:0.5486148832156437, average:0.04683549008291902
Threshold:0.15000000000000002, retain_rate:0.7316675719717545, average:0.06603384707250606
Threshold:0.2, retain_rate:0.8593155893536122, average:0.0820704453732724
Threshold:0.25, retain_rate:0.9201520912547528, average:0.09149524393678213
Threshold:0.30000000000000004, retain_rate:0.9560021727322108, average:0.09839628338378145
Threshold:0.35000000000000003, retain_rate:0.9744703965236284, average:0.10266721705840035
Threshold:0.4, retain_rate:0.9869636067354699, average:0.10609691318288147
Threshold:0.45, retain_rate:0.9913090711569799, average:0.10753102484935316
Threshold:0.5, retain_rate:0.9940249864204237, average:0.10855188846657711
Threshold:0.55, retain_rate:0.9961977186311787, average:0.10948560116626213
Threshold:0.6000000000000001, retain_rate:0.997827267789245, average:0.11023015419475811
Threshold:0.65, retain_rate:0.997827267789245, average:0.11023015419475811
Threshold:0.7000000000000001, retain_rate:0.9983704508419338, average:0.11053289440829014
Threshold:0.75, retain_rate:0.9989136338946225, average:0.11088061985994416
Threshold:0.8, retain_rate:0.9994568169473113, average:0.11123841885416742
Threshold:0.8500000000000001, retain_rate:0.9994568169473113, average:0.11123841885416742
Threshold:0.9, retain_rate:0.9994568169473113, average:0.11123841885416742
Threshold:0.9500000000000001, retain_rate:0.9994568169473113, average:0.11123841885416742
