Threshold:0.0, retain_rate:0.12466666666666666, average:0.0
Threshold:0.05, retain_rate:0.24966666666666668, average:0.01748561940740422
Threshold:0.1, retain_rate:0.542, average:0.04879193173794229
Threshold:0.15000000000000002, retain_rate:0.7583333333333333, average:0.07015256533165527
Threshold:0.2, retain_rate:0.8743333333333333, average:0.08376650271876342
Threshold:0.25, retain_rate:0.932, average:0.09251535151981094
Threshold:0.30000000000000004, retain_rate:0.966, average:0.09902602069216071
Threshold:0.35000000000000003, retain_rate:0.983, average:0.10286297528529711
Threshold:0.4, retain_rate:0.99, average:0.10479141174908926
Threshold:0.45, retain_rate:0.993, average:0.10575939662122619
Threshold:0.5, retain_rate:0.9956666666666667, average:0.10676747611613113
Threshold:0.55, retain_rate:0.9963333333333333, average:0.10705695518155625
Threshold:0.6000000000000001, retain_rate:0.9973333333333333, average:0.1075203436918269
Threshold:0.65, retain_rate:0.9983333333333333, average:0.1080474898037762
Threshold:0.7000000000000001, retain_rate:0.999, average:0.10842722676976187
Threshold:0.75, retain_rate:1.0, average:0.1090449900191826
Threshold:0.8, retain_rate:1.0, average:0.1090449900191826
Threshold:0.8500000000000001, retain_rate:1.0, average:0.1090449900191826
Threshold:0.9, retain_rate:1.0, average:0.1090449900191826
Threshold:0.9500000000000001, retain_rate:1.0, average:0.1090449900191826
